Course_Code,Course_Name,URL,Last_Assessed,Last_Published,Note,Prerequisite_Courses,Prerequisite_Units,TD_Interactive,TD_Interactive_Written,TD_Context,TD_Context_Written,TD_Integrative,TD_Integrative_Written,TD_Pluralistic,TD_Pluralistic_Written,TD_Change,TD_Change_Written,TD_Systemic,TD_Systemic_Written,Advice,Assessment URL
ASTR1003,Astronomy and Space,https://programsandcourses.anu.edu.au/course/ASTR1003,18-Jun-24,20-Oct-21,,Open to all students,No prerequisite units,Somewhat Likely (Material),"Description: Spaceflight, space technologies, space law and space medicine.",Somewhat Likely,"LO: Identify and communicate the ways in which space technology can and will affect the modern and future world.
LO: Appreciate and communicate traditional Indigenous understandings of astronomy.",,,,,,,,,Advice: LO could be rewritten for [PLURALISTIC] to be able to hold both Scientific and Aboriginal ways of knowing as true,ASTR1003.pdf
ASTR2013,Foundations of Astrophysics,https://cms.anu.edu.au/cms/design/course/67707/view,20-Jul-24,29-Feb-24,,Open to students with particular courses,Normally completed at least 48 units,Likely (Peers),LO: Work effectively as part of a research group,Not Likely,Unclear from course description,,,,,Somewhat Likely,"Description: The goal of this course is to provide students with the knowledge of the most essential physical processes in astrophysics, and the way in which we can make key inferences about these processes by astronomical observations.",,,,
ASTR3013,Astrophysical Processes,https://cms.anu.edu.au/cms/design/course/48812/view,20-Jul-24,22-Nov-21,,Open to students with particular courses,Normally completed at least 96 units,Likely (Peers),LO: Work effectively as part of a group on problems in these areas,Not Likely,Unclear from course description,,,,,Somewhat Likely,Description: This course provides an introduction to the physical processes that underlie almost all astrophysical phenomena: radiation and fluid dynamics. ,,,,
BIOL2115,Comparitive Physiology,https://programsandcourses.anu.edu.au/course/BIOL2115,18-Jun-24,22-Nov-23,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Material),"Note: Unclear where the team-tasks are in assessment. Could possibly be framed as collecting and sharing data.
LO: [Interactive] Work as a research team and provide effective peer support and feedback.",Somewhat Likely,"Description:  This knowledge can offer novel engineering insights into the design of our own buildings, transport systems and even cities (biomimetics is a growing and exciting field).",,,,,,,Somewhat Likely,LO: Understand and predict the physiological responses of plants and animals to environmental stresses including temperature extremes and starvation,,BIOL2115.pdf
BIOL3106,Biosecurity,https://programsandcourses.anu.edu.au/course/BIOL3106,18-Jun-24,10-Jan-23,,Open to students with particular courses,Normally completed at least 72 units,Somewhat Likely (Material),LO: Critically analyse the science that underpins our understanding of new biosecurity threats.,Somewhat Likely,"Description: Incursions of these pathogens have severe societal and economic impact once they are introduced into our communities and environments.
LO: Research and evaluate biosecurity information with a specific focus on its value in the Australian context.",Somewhat Likely,"Description: This course starts off with providing an introduction to policies and legislation that frame the collective biosecurity discussions in Australia. It moves on to introduce the biology of plant pathogens that pose biosecurity risks.
LO: Classify the biological attributes that make feral animals, weeds, parasites and pathogenic micro-organisms a biosecurity threat.",,,,,,,,BIOL3106.pdf
BIOL3142,Biomedical Parasitology,https://programsandcourses.anu.edu.au/course/BIOL3142,18-Jun-24,29-Jul-20,Draft 2024,Open to students with particular courses,Normally completed at least 72 units,Somewhat Likely (Material),May be implicit in Practical sessions. ,Somewhat Likely,Description; Every 30 seconds someone is killed by a parasite. Parasites also cause damage to the livestock industry worth several billions of dollars each year. LO: Analyse key features of major parasitic diseases and evaluate their impact on human and animal health.,Somewhat Likely,"Description: In this course we will take a broad and multi-disciplinary approach to the complex and dynamic relationships between parasites and their hosts.
LO: Assess and evaluate different treatment and intervention strategies.",,,,,,,May require slight reframing.,BIOL3142.pdf
BIOL3178,Recovery Biology,https://cms.anu.edu.au/cms/design/course/66465/view,20-Jul-24,18-Jun-24,,Open to students with particular courses,Normally completed at least 96 units,Highly Likely,"LO: Collaborate in group-based presentation of project outcomes to stakeholders, academics and the public.",Likely,"LO: Apply contemporary concepts from across disciplines, including ecological, evolutionary and decision sciences, to management for recovering threatened species and ecosystems.",Likely,"LO: Apply contemporary concepts from across disciplines, including ecological, evolutionary and decision sciences, to management for recovering threatened species and ecosystems",Likely,"LO: Understand the multifaceted nature of conservation and be able to identify relevant stakeholders, and consider diverse, potentially conflicting opinions.",Likely,LO: Apply and evaluate new technologies to enhance management and monitoring of threatened species and ecosystems.,Likely,"LO: Apply contemporary concepts from across disciplines, including ecological, evolutionary and decision sciences, to management for recovering threatened species and ecosystems.
",,
BIOL3188,ANU SynBio Challenge Team Project,https://cms.anu.edu.au/cms/design/course/67796/view,20-Jul-24,08-Mar-24,,Open to students with relevant backgrounds,Normally completed at least 72 units,Highly Likely,"LO: Collaborate in a multidisciplinary team to meet the design challenge
Description: Students will be expected to work cohesively in a team, designing, building and testing a synthetic biology solution to a significant problem. ",Highly Likely,"LO: Discuss and reflect on the ethical and social implications of their project. 
Description: Proponents promise clean energy, sustainable biomanufacturing, food security and effective disease intervention that will transform our society, alter the way we interact with our environment, and allow us to sustainably provide goods and services across all economic sectors",Likely,"LO: Critically analyse published Synthetic Biology literature to identify strategies leading to the design of an innovative solution to a significant environmental, industrial or medical problem.
Description: Students will be expected to learn about Synthetic Biology and its potential applications in the process, with a particular emphasis on developing entrepreneurial skills and knowledge of the commercialisation process.",,,Likely,"LO: Critically analyse published Synthetic Biology literature to identify strategies leading to the design of an innovative solution to a significant environmental, industrial or medical problem.",,,,
BIOL3208,Biology Research Project,https://cms.anu.edu.au/cms/design/course/63739/view,20-Jul-24,20-Jul-24,,Open to students with relevant backgrounds,Normally completed at least 96 units,,,,,,,,,,,,,,
BIOL3210,Appreciating parasites,https://cms.anu.edu.au/cms/design/course/56638/view,20-Jul-24,06-May-24,,Open to students with relevant backgrounds,Normally completed at least 72 units,Likely (Peers),"Description: A willingness to contribute and the ability to work in a team are a requirement for participation.
Assessment: Group oral presentations based on 'the big things we don't know about parasites' 
Assessment: Four blog postings based on interdisciplinary parasite host perspectives (group based)",Somewhat Likely,"LO: 
Apply disciplinary and interdisciplinary frameworks in a systems level appraisal of parasite/host ecology.
Description: through lectures, workshops and practical experiments we will explore the terrestrial and aquatic parasites found in the local environment and contemplate on the challenges parasites face, the bases for their survival and their impact on the environment.",Likely,LO: This is a multi-disciplinary course that ranges from molecular sequencing to evolutionary ecology,,,Likely,LO: Analyse and relate the evolutionary trajectories of specific/local parasite and host populations to their habitats.,Likely,"Description: the dynamic complexity and yet specificity of host-parasite interactions.
LO: Explain the interaction and diversity of parasite and host populations within the Kioloa environment.",,
BUSI3020,International Strategic Management,https://programsandcourses.anu.edu.au/course/BUSI3020,15-Jul-24,31-Oct-22,,Open to all students,Normally completed at least 72 units,Somewhat Likely (Material),LO: Explain and illustrate the international strategic management processes used by top level management in multinational enterprises,Somewhat Likely,"LO: Define, explain and illustrate the relationships among philosophic roots and approaches for international strategic planning and implementation, strategies for value chain activity integration, international business strategies, structure of multinational enterprises, and human resource management orientations, and the role which culture plays in managing multinational enterprises",Somewhat Likely,"LO: Creatively apply knowledge from different approaches to strategic management issues and problems of multinational enterprises, demonstrating thorough understanding of the various international strategic management concepts and their practical application",,,,,,,,
BUSI3024,Export Business Planning,https://programsandcourses.anu.edu.au/course/BUSI3024,15-Jul-24,19-Jun-24,,Open to students with particular courses,Normally completed at least 48 units,Likely (Peers),"Assessment: International Business Plan. At the end of the semester, teams will make professional presentations to their designated clients and their peers via a series of conference-style sessions.",Likely,"Description: Specific topics include the rationale for international marketing; marketing issues related to international economic, financial, political, legal, cultural, technological environments",Somewhat Likely,"LO: Apply core theoretical concepts from international marketing, management and business to find practical solutions to constraints of small businesses",,,Somewhat Likely,"LO: Reflect on the significance of international marketing, business and management in the future direction of global business developments.",,,,
CBEA2001,Indigenous Perspectives in Business,https://cms.anu.edu.au/cms/design/course/70613/view,15-Jul-24,24-Jun-24,New Course,Permission Code,No prerequisite units,Somewhat Likely (Material),"Description: Students will gain an understanding of the rightful place of Australia's Indigenous peoples, an appreciation of key areas and interests in the business world as pertaining to Aboriginal and Torres Strait Island peoples, and an understanding of working alongside communities for business development and relationship building.",Likely,"LO: Evaluate the effectiveness of various modes of communication in intercultural contexts, specifically those related to public policy and business.
Description: These four modules will be linked through three health humanities themes: cultural constructions of health and health care; narrative and visual representations of illness, health and well-being; and performance and health",,,Likely,"LO: Analyse contemporary Australian Indigenous knowledge and perspectives emerging in an ongoing history of interaction and mutual influence with non-Indigenous peoples, ideas and institutions.",Likely,LO: Compare and contrast economic development and neo-colonial policy development and implementation experiences across Australia.,,,,
CHMD2005,Health Humanities,https://cms.anu.edu.au/cms/design/course/69410/view,15-Jul-24,06-Jun-24,New Course,Permission Code,No prerequisite units,Likely (Experts),"LO: Work creatively and collaboratively.
Description: Expert seminars will be presented by writers, dance artists, visual artists, and game developers. ",Somewhat Likely,"LO: Analyse the impact of health law issues in the Australian context for healthcare, health policy and society.",Likely,"Assessment: Students will develop a portfolio of work including an analysis of a pathography or a creative reflection on illness; an analysis of a visual work; and an analysis of a media representation of illness, health condition, or health intervention.",,,,,,,,
COMP1110,Structured Programming,https://programsandcourses.anu.edu.au/course/COMP1110,15-Jul-24,23-Oct-23,,Open to students with particular courses,Normally completed at least 24 units,Somewhat Likely (Common),"Assessment: Group assignment
LO: Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools",Not Likely,Unclear from course description,,,,,,,,,,
COMP1130,Programming as Problem Solving (Advanced),https://programsandcourses.anu.edu.au/course/COMP1130,15-Jul-24,23-Oct-23,,Open to all students,No prerequisite units,Somewhat Likely (Common),"Assessment: Group assignment
LO: Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools",Not Likely,Unclear from course description,,,,,,,,,,
COMP1720,Art and Interaction Computing,https://programsandcourses.anu.edu.au/course/comp1720,18-Jun-24,09-Nov-21,,Open to all students,No prerequisite units,Somewhat Likely (Broad),"Description: The course draws upon the rich practice-led research experiences of the ANU computer science, art and music staff in exploring this field.",Somewhat Likely,Description: The course introduces the range of creative possibilities presented by the computer in the modern art world as well fundamental concepts of visual and interactive design. ,Somewhat Likely,Description: The course introduces the range of creative possibilities presented by the computer in the modern art world as well fundamental concepts of visual and interactive design. ,,,,,,,,COMP1720.pdf
COMP1730,Programming for Scientists,https://programsandcourses.anu.edu.au/course/COMP1730,15-Jul-24,19-Feb-24,,Open to all students,No prerequisite units,Not Likely,Unclear from course description,Not Likely,Unclear from course description,,,,,,,,,"Unclear how TD skills are developed (for example, [PLURALISTIC] are there many paradigms/ways of engaging with/using code or [CONTEXT] what is the nature/bigger picture of practical problems that can be solved with programming.",COMP1730.pdf
COMP2100,Software Construction,https://programsandcourses.anu.edu.au/course/COMP2100,15-Jul-24,01-Dec-23,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Common),"Assessment: Group Project
Note: interactive not covered in LO",Not Likely,Unclear from course description,,,,,,,,,,
COMP2120,Software Engineering,https://programsandcourses.anu.edu.au/course/comp2120,18-Jun-24,31-Mar-22,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Common),"Description: Real-world software development is a complex and dynamic activity involving people, technology and processes interacting within a complex environment of clients, users and other stakeholders while being observant of technological, physical, social, legal, and ethical constraints.
LO: Work co-operatively in a team to solve a software engineering problem.",Somewhat Likely,"Description: We will use real-world examples such as distributed, high-integrity, web-based systems where rigorous software engineering can demonstrably enhance business value.
LO: Apply modern requirements gathering and software design techniques in the context of a realistic software engineering process.",Likely,"Description: This course will empower students with the ability and confidence necessary to exercise critical thinking and professional judgment to select and apply appropriate knowledge, practices and tools to the development of non-trivial software systems.
Description: Students will learn how practices and tools can be adapted to suit specific project needs and contexts. Knowledge, practices and tools considered in this course will include process models, requirements engineering, design, modelling and user experience.",,,,,,,,COMP2120.pdf
COMP2400,Relational Databases,https://programsandcourses.anu.edu.au/course/comp2400,15-Jul-24,16-Feb-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Not Likely,Unclear from course description,Not Likely,Unclear from course description,,,,,,,,,,
COMP3425,Data Mining,https://programsandcourses.anu.edu.au/course/comp3425,15-Jul-24,27-Oct-22,,Open to students with particular courses,Normally completed at least 72 units,Not Likely,Unclear from course description,Somewhat Likely,"LO: Reflect upon ethical and social impacts of data mining.
Description: Massive amounts of data are being collected by public and private organisations, and research projects, while the Internet provides a very large source of information about almost every aspect of human life and society. Analysing such data can provide significant benefits to an organisation. ",,,,,,,,,,
COMP3500,Software Engineering Project,https://programsandcourses.anu.edu.au/course/COMP3500,18-Jun-24,23-Oct-23,Draft updated for TD-GA,Open to students with particular courses,Normally completed at least 96 units,Somewhat Likely (Common),"Description: Most students will work on projects for an industry, government or university client.
LO: Work as an effective member of a team to implement a software based solution that delivers measurable value to an industry or university client.
LO: How personality traits can impact upon team performance and how to use individual traits to achieve the most from team work.
LO: Communicate effectively, orally and in writing, with peers, supervisors and commercial clients/stakeholders.",Somewhat Likely,"Description: Students will also study relevant aspects of the software engineering milieux.
LO: Creatively identify and implement a solution to a complex problem that exists within the domain of ICT.",Somewhat Likely,"Description: Students work in small groups and participate in all the development phases (requirements analysis, design, construction, testing and documentation) of a nontrivial software system. As well, each group has to address the control of the development process by constructing and following a detailed software development management plan. Students will also study relevant aspects of the software engineering milieux.",,,,,Likely,"LO: Work as an effective member of a team that creatively identifies, implements, and delivers a software solution to a complex problem.",,COMP3500.pdf
COMP3900,Human-Computer Interaction,https://programsandcourses.anu.edu.au/course/comp3900,18-Jun-24,17-May-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Common),Assessment: Prototype design - Students will work in groups to undertake ideation and create a prototype of a design idea that relates to the given design brief. ,Somewhat Likely,"LO: Demonstrate an awareness of ethical considerations in technology design, and apply ethical approaches to design research and practice.",Likely,"Description: This course [...] will introduce students to key interaction and experience design paradigms, approaches and methods.
LO: Apply social, cognitive, emotional, and accessibility theories and lenses in critiquing existing technologies, and developing new design ideas.",,,,,,,,COMP3900.pdf
COMP4500,Software Engineering Team Project,https://programsandcourses.anu.edu.au/course/COMP4500,18-Jun-24,10-May-24,Draft updated for TD-GA,Open to students with particular courses,Normally completed at least 96 units,Somewhat Likely (Common),"Description: Most students will work on projects for an industry, government or university client.
LO: Work as an effective member of a team to implement a software based solution that delivers measurable value to an industry or university client.
LO: How personality traits can impact upon team performance and how to use individual traits to achieve the most from team work.
LO: Communicate effectively, orally and in writing, with peers, supervisors and commercial clients/stakeholders.",Somewhat Likely,"Description: Students will also study relevant aspects of the software engineering milieux.
LO: Creatively identify and implement a solution to a complex problem that exists within the domain of ICT.",Likely,"Description: Students will lead small teams to plan (define, estimate, schedule) and manage an appropriate set of activities to ultimately deliver a software product. ",,,Highly Likely,"LO: Develop as a leading member of a team that creatively identifies, implements, and delivers a software solution to a complex problem.",,,,COMP3500.pdf
COMP4880,Computational Methods for Network Science,https://programsandcourses.anu.edu.au/course/comp4880,18-Jun-24,20-Sep-21,,Open to students with particular courses,Normally completed at least 96 units,Somewhat Likely (Material),LO: Demonstrate a thorough understanding of the fundamental principles of using computational approaches to formulate and answer social science questions.,Somewhat Likely,"Description: The course equips the students with in-depth knowledge and hands-on experience in working with network data to study social processes at both the individual and aggregate levels.
LO: Demonstrate a working understanding in the ethical concerns of data drive analysis and experiments in human behavior.",Likely,"Description [COMP4880] covers the essentials of using computational approaches to pose and answer social science research problems.
LO: Demonstrate a thorough understanding of the fundamental principles of using computational approaches to formulate and answer social science questions.",,,,,,,,COMP4880.pdf
CRIM2009,Corruption in our world,https://cms.anu.edu.au/cms/design/course/57717/view,15-Jul-24,22-Jun-24,Updated for TD-GA,Open to all students,Normally completed at least 24 units,Somewhat Likely (Broad),Description: Teaching is intensive in the Summer period and provides students an opportunity to collaborate across disciplines in studying a phenomena that touches all aspects of human activity.,Somewhat Likely,"Description: this course examines the phenomenon of corruption, identifies the contexts within which it flourishes, explores means of measuring it, ",Somewhat Likely,"LO: Describe different concepts, definitions and measures of corruption;",,,,,,,LOs might need revision to meet TD GA,CRIM2009.pdf
CRIM3002,Corruption in Sport,https://programsandcourses.anu.edu.au/course/CRIM3002,18-Jun-24,01-Jul-24,Updated for TD-GA,Open to all students,Completed minimum of 72 units,Likely (Peers),Assessment: Group presentation (10%) and Tutorial participation,Likely,Description: This course will introduce students to the multifaceted nature of corruption in sport and to useful theoretical approaches to analysing the phenomena.,,,Likely,"Description: On completion, students will have the academic skills to critically analyse the phenomena by synthesising a variety of disciplinary approaches to this issue and show them that sport is now so much more than just a game.
LO [Plurality]: evaluate and compare the utility of different disciplinary approaches to the study of corruption",Likely,LO: Develop practical and policy oriented recommendations to counter corruption in different sporting contexts,,,,CRIM3002.pdf
DEMO2002,Population Analysis,https://programsandcourses.anu.edu.au/course/DEMO2002,15-Jul-24,19-Jun-24,,Open to all students,Normally completed at least 24 units,Somewhat Likely (Common),Assessment: Group exercises,Somewhat Likely,Description: This course provides the basic analytical foundation for understanding societal change.,Somewhat Likely,LO: access various demographic data sources and understand their relative strengths and weaknesses.,,,,,,,,
DESN2008,Design Thinking,https://programsandcourses.anu.edu.au/course/DESN2008,15-Jul-24,25-Jun-24,,Open to all students,Normally completed at least 36 units,Likely (Peers),Assessment: Design Challenge ,Likely,"Description: Design Thinking describes processes involving the application of user research, ideation, participation, and collaboration for problem-solving and innovation in a wide range of cultural contexts. ",Likely,"LO: demonstrate and apply critical thinking through design methodologies, theories, and processes",,,,,,,,
DESN3011,Design Studio: Engagement and Collaboration,https://programsandcourses.anu.edu.au/course/DESN3011,18-Jun-24,01-Jul-24,Updated for TD-GA,Open to students with relevant backgrounds,Completed minimum of 96 units,Likely (Experts),"Description: It requires students to extend their design knowledge and skills through projects requiring demonstration and application of critical thinking, collaboration, adaptability, ethical practice, and professional conduct. 
LO: Engage collaboratively with clients, industry, the public, and peers as an informed and ethical practitioner",Likely,"LO: articulate design problems and develop innovative design solutions through creative practice;
Description: Students collaborate in transdisciplinary teams across authentic projects, encompassing not-for-profit, government, industry, and university sectors.",Likely,"Description: Teams conduct research, frame and address transdisciplinary problems, and creatively resolve them in collaboration with peers and stakeholders. ",,,Highly Likely,"Description: This course provides a platform for transdisciplinary problem solving and engagement with clients, industry, and the general public.
LO: Employ design knowledge in transdisciplinary problem solving across authentic industry projects",,,,DESN3011.pdf
ECHI1006,The Australian Economy: Past and Present,https://cms.anu.edu.au/cms/design/course/37353/view,17-Jul-24,30-Oct-19,,Open to all students,No prerequisite units,Somewhat Likely (Material),Not clear. Likely more needed for TD-GA.,Somewhat Likely,"Description:  It is intended for students who are seeking a broad understanding of how the economy works. 
LO: present a variety of interpretations and debates on Australia   s economic history",Somewhat Likely,"Description: The approach adopted will emphasise that the present Australian economy needs to be seen in the context of the historical pattern of development and change. While the course deals primarily with economic factors, social and political contexts and connections will also be considered.
LO: demonstrate an understanding of the ways in which the Australian economy has changed over time and will have developed a perspective of Australia's present position in the international economy that takes these historical changes into account",,,Likely,LO: demonstrate an understanding of the ways in which the Australian economy has changed over time and will have developed a perspective of Australia s present position in the international economy that takes these historical changes into account,,,,ECHI1006.pdf
ECHI3009,World Economy Since 1800,https://programsandcourses.anu.edu.au/course/ECHI3009,18-Jun-24,08-Jul-21,,Open to students with particular courses,Normally completed at least 72 units,Somewhat Likely (Material),"Assessment: Group project (40%)
LO: work in teams to analyse and present key findings of academic research and their strengths, limitations and context in the wider fields of relevant inquiry",Somewhat Likely,Description: Emphasis is on institutional changes in how societies organize economic and political activities and variation in development among geographic regions.,Likely,"Description: This course analyzes historical major economic, political, and social changes in the world economy. 
LO: these include factors contributing to increases in economic performance, changes in the form of government, technological change (including industrialization), and episodes of integration and disintegration of the global economy.",,,,,,,,ECHI3009.pdf
ECON1100,Economics I,https://programsandcourses.anu.edu.au/course/ECON1100,15-Jul-24,16-Sep-19,,Open to students with particular courses,No prerequisite units,Likely (Experts),Class Activity: Guest Speaker series,Likely,"LO: demonstrate the ability to critically evaluate many newspaper and magazine articles covering current economic events;
LO: demonstrate an understanding of the economic tools taught in class and be able to apply them to analyse real world problems and policy issues.",,,,,Somewhat Likely,"Description: The analysis will be applied to a number of topical public policy issues including carbon pricing, intellectual property, infrastructure pricing and provision, and road charging. The course finishes with an examination of public choice: the economics of the political process.",,,,
ECON2009,Labour Economics and Industrial Relations,https://programsandcourses.anu.edu.au/course/ECON2009,17-Jul-24,19-Sep-23,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Material),LO:  interpret labour market statistics and empirical evidence in academic papers and policy reports;,Somewhat Likely,"Description: The topics to be covered are: labour supply, including determinants of labour market participation and hours of works; labour demand; labour market equilibrium and wage determination; compensating wage differentials; investments in human capital and returns to education; earnings distribution; labour mobility; labour market discrimination; role of unions; incentive pay; and unemployment. ",Somewhat Likely,"Description: This course provides a broad introduction to the economic analysis of labour market issues. [...] Policy applications will be emphasized.
*Needs a description about context as well as topics",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
