academic-plan,program-name,program-acronym,program-year,cricos-code,uac-code,post-nominal,field-of-education,academic-contact,mode-of-delivery,areas-of-interest,academic-career,course-convener,degree-summary__admission-score,degree-summary__requirements-length,degree-summary__requirements-units,introduction,learning-outcomes
AHUSS,Bachelor of Philosophy (Honours)—Humanities and Social Sciences,AHUSS,2023,103363E,132001 (PhB Hons HumSS),PhB,,,,,,,98,"
Length
4 year full-time
","
Minimum
            192 Units
        ","The Bachelor of Philosophy (Honours)—Humanities and Social Sciences or PhB (HaSS) is an innovative, research-focused undergraduate degree designed for intellectually curious students who want to explore their interests beyond the classroom. It’s the only program of its kind where disciplinary knowledge is enriched by a deep regional understanding of Asia and the Pacific.
As a member of our interdisciplinary research community you will have the opportunity to explore your interests through a diverse range of disciplines including: history,
anthropology, international relations, gender, culture, strategic studies, sociology, political science, language and linguistics, literature, law and regulation, archaeology, and economics.
You will receive one-on-one mentoring from a range of world-leading researchers at the forefront of their fields and develop your capacity for independent research and critical thinking in an academically rigorous learning environment.
You will join a dynamic cohort of students in the PhB, interacting through special research seminars, and connecting with international peers through internship and exchange opportunities.
The flexible nature of the PhB (HaSS) allows you and your academic mentors to design the program to suit your interests and includes advanced PhB-only courses tailored to provide you with the high-level academic skills you need to lead in your research and analysis career.
During your final years of study you will be encouraged to undertake fieldwork abroad as you embark on a year-long independent research project under the guidance of an academic supervisor. With the ANU PhB (HaSS) you can gain exceptional preparation in your chosen Humanities and Social Sciences disciplines and special opportunities to pursue regionally-focused or globally-oriented study at the highest level.","{'1': 'Engage professionally and respectfully with Asia, the Pacific, and the world using sophisticated concepts and methods from the humanities and social sciences.', '2': 'Critically analyse the research literature from both specialist and interdisciplinary perspectives.', '3': 'Create new interdisciplinary knowledge that helps to build an integrated understanding of complex social, cultural, political and/or linguistic issues at an Asia-Pacific regional or global scale.', '4': 'Convey professional and disciplinary knowledge to diverse audiences in a clear and convincing manner.', '5': 'Collaborate with peers to identify and solve problems in business, politics, and the academy.', '6': 'Conceptualise new research projects considering their practical application, academic contributions, and ethical implications.', '7': 'Undertake independent research drawing on high level project management, analysis, and writing skills, as well as professional connections.', '8': 'Exercise personal, professional and social responsibility as a global citizen.'}"
ALLB,Bachelor of Laws (Honours),LLB (H),2023,085042J,137004 (Bachelor of Laws (Honours)), ,,,,,,,97,"
Length
4 year full-time
","
Minimum
            192 Units
        ","A student admitted to a program for a coursework award must enrol in the courses, sequences of courses, or combinations of courses, that the University determines may be included in the program for the year in which the student is admitted to the program.Please ensure that you follow the study requirements of the academic year you were admitted or, if accepted, will be admitted to the program.A Bachelor of Laws (Honours) degree provides candidates with a law degree that opens doors to a diverse range of professional careers in Australia and around the world.In addition to equipping you with an understanding of law and the contexts in which it operates, the LLB (Hons) places a significant emphasis on building your high-level research skills through opportunities to conduct independent legal research.Through the LLB (Hons), you will graduate with an honours-degree, giving you additional advantages in establishing your career or providing a strong foundation for postgraduate study. The program satisfies the academic component to be admitted as a legal practitioner in Australia.","{'1': 'Review, analyse, and synthesise knowledge from primary and secondary legal sources to identify and provide solutions to complex legal and justice problems.', '2': 'Interpret and critically evaluate the nature of law and its social and ethical impact on society, at a local, national, and international level.', '3': 'Undertake technical legal research to access a range of legal materials, literature databases, and other online sources, and apply legal or interdisciplinary research methodologies to evaluate and synthesise findings.', '4': 'Communicate to a variety of legal and non-legal audiences in a range of oral and written formats.', '5': 'Develop insight into Aboriginal and Torres Strait Islander Peoples’ diverse perspectives on laws and society and evaluate their relationship and importance to contemporary Australian law and society.', '6': 'Work both independently and\xa0collaboratively as required, and evaluate and reflect on feedback to develop personal,\xa0professional and ethical\xa0capability across a range of legal disciplines.'}"
APHSC,Bachelor of Philosophy (Honours) - Science,PHB,2023,043746B,138000 (B Philosophy (Science)),PhB,,,,,,,98,"
Length
4 year full-time
","
Minimum
            192 Units
        ","Inspire your curious mind with the Bachelor of Philosophy (Honours).There’s no other degree like it in Australia. You’ll get to explore your interests by undertaking research as an undergraduate student, get one-on-one mentoring by leading academics… all while enjoying the camaraderie of a group of like-minded students.The research you’ll do throughout your degree is excellent preparation for your fourth, or Honours year of your PhB. You will undertake a year-long research project under the guidance of an academic supervisor. This is where you can really indulge your passion and explore a topic in detail.Find out more about the Bachelor of Philosophy, the degree structure, the university experience, career opportunities and student stories on our website. Get the inside story on what it’s like to be an ANU student by visiting our student blog.","{'1': 'Develop, apply, integrate and generate knowledge in educational and professional contexts;', '2': '', '3': 'Develop and use a range of skills and methods to identify, analyse and respond to complex problems and issues;', '4': 'Identify and apply various research concepts, methodologies and methods;', '5': '', '6': 'Work and learn in both independent and collaborative ways with others to encompass diverse abilities and perspectives;', '7': '', '8': 'Negotiate research projects considering their academic relevance, possible academic contributions, and ethical implications;', '9': '', '10': 'Source and critically analyse research literature related to their topics of interest and research;', '11': '', '12': 'Appraise concepts and arguments related to their topics of interest and research;', '13': '', '14': 'Convey and relate professional and disciplinary information and ideas to diverse audiences in effective and appropriate ways;', '15': '', '16': 'Develop high level project management skills as support for independent study; and', '17': '', '18': 'Exercise personal, professional and social responsibility as a global citizen.'}"
APNSC,Bachelor of Philosophy (Honours) / Bachelor of Science (Honours) - ANU as home institution,PHBBSC,2023,054595K,138005 (ANU-NUS), ,,,,,,,98,"
Length
4 year full-time
","
Minimum
            192 Units
        ","The PhB(Hons)/BSc(Hons) can be taken in three majors (Chemistry, Mathematics or Physics) and is offered as a joint single degree program by the National University of Singapore, NUS, and the Joint Colleges of Science, Health and Medicine at ANU. This highly selective program provides a challenging course of study for students who have a strong interest in and aptitude for graduate research work.Students are expected to acquire a strong foundation in critical analysis and depth in the principles of each subject. They are closely involved in undergraduate research with at least 25 per cent of their graduation requirements based upon independent research.This is a four-year, Honours only, research-based degree. You will spend three semesters in residence at your host university and will write your Honours thesis at your home university. If your institution of primary enrolment is the NUS, you spend the first three semesters there, your next three semesters at ANU and your final two semesters back at NUS.If you are primarily enrolled at ANU, you will spend the first two semesters at ANU, the next three semesters at the NUS and the last three semesters at ANU.The course of study in each major is indicated in the tables below. There is significant flexibility and you can tailor your program of study in consultation with an assigned academic mentor at your home institution, with approval from the relevant coordinator in both universities.Admission to this program is based on meeting the minimum selection rank requirement, submission of the Bachelor of Philosophy (Honours) supplementary form and the receipt of two referee reports in support of your application. For more information about this additional selection criteria see: https://www.anu.edu.au/study/apply/domestic-applications-anu-undergraduate/anu-undergraduate-additional-selection-criteria A quota can apply and interviews and school recommendations may also be used in the selection of students.","{'1': 'Develop, apply, integrate and generate scientific knowledge in educational and professional contexts;', '2': 'Develop and use a range of skills and methods to identify, analyse and respond to complex problems and issues;', '3': 'Identify and apply various research concepts, methodologies and methods ', '4': 'Work and learn in both independent and collaborative ways with others to encompass diverse abilities and perspectives;', '5': 'Negotiate research projects considering their academic relevance, possible academic contributions, and ethical implications; ', '6': 'Source and critically analyse research literature related to their topics of interest and research; ', '7': 'Appraise concepts and arguments related to their topics of interest and research; ', '8': 'Convey and relate professional and disciplinary information and ideas to diverse audiences in effective and appropriate ways;', '9': 'Develop high level project management skills as support for independent study; and ', '10': 'Exercise personal, professional and social responsibility as a global citizen.'}"
APNSN,Bachelor of Philosophy (Honours) / Bachelor of Science (Honours) - NUS as home institution,PHBBSC,2023,054595K,, ,,,In Person,,,,98,"
Length
4 year full-time
","
Minimum
            192 Units
        ","The PhB(Hons)/BSc(Hons) can be taken in three majors (Chemistry, Mathematics or Physics) and is offered as a joint single degree program by the National University of Singapore, NUS, and the College of Science and College of Health and Medicine at ANU. This highly selective program provides a challenging course of study for students who have a strong interest in and aptitude for graduate research work.Students are admitted to this program through NUS. Places are offered to ANU students in NUS's University Scholars Program.Students are expected to acquire a strong foundation in critical analysis and depth in the principles of each subject. They are closely involved in undergraduate research with at least 25 per cent of their graduation requirements based upon independent research.This is a four-year, embedded Honours, research-based degree. You will spend three semesters in residence at ANU and will write your Honours thesis at NUS. Students in this degree will have their primary enrolment at NUS, spending their first three semesters there, the next three semesters at ANU and the final two semesters back at NUS.The course of study in each major is indicated in the tables below. There is significant flexibility and you can tailor your program of study in consultation with an assigned academic mentor at your home institution, with approval from the relevant coordinator in both universities.","{'1': 'Develop, apply, integrate and generate scientific knowledge in educational and professional contexts;', '2': 'Develop and use a range of skills and methods to identify, analyse and respond to complex problems and issues;', '3': 'Identify and apply various research concepts, methodologies and methods ', '4': 'Work and learn in both independent and collaborative ways with others to encompass diverse abilities and perspectives;', '5': 'Negotiate research projects considering their academic relevance, possible academic contributions, and ethical implications; ', '6': 'Source and critically analyse research literature related to their topics of interest and research; ', '7': 'Appraise concepts and arguments related to their topics of interest and research; ', '8': 'Convey and relate professional and disciplinary information and ideas to diverse audiences in effective and appropriate ways;', '9': 'Develop high level project management skills as support for independent study; and ', '10': 'Exercise personal, professional and social responsibility as a global citizen.'}"
APSYC,Bachelor of Psychology (Honours),BPSYH,2023,036680G,138130 (B Psychology),Bpsych,,,,,,,90,"
Length
4 year full-time
","
Minimum
            192 Units
        ","Decode the puzzle of the human brain with the Bachelor of Psychology (Honours).This degree will allow you to explore both the research and applied components of psychology, with the opportunity to specialise in an area of interest when completing Honours in your fourth year.This program is suited to those who intend to complete a postgraduate qualification in psychology and pursue a career as a clinical psychologist.Find out more about psychology, the degree structure, the university experience, career opportunities and student stories on our website.Get the inside story on what it’s like to be an ANU student by visiting our student blog.","{'1': 'Develop, apply, integrate and generate knowledge in educational and professional contexts', '2': 'Develop and use a range of skills and methods to identify, analyse and respond to complex problems and issues.', '3': 'Work and learn in both independent and collaborative ways with others to encompass diverse abilities and perspectives.', '4': 'Plan and engage in an independent and sustained critical investigation of a chosen research topic to generate new knowledge.', '5': 'Systematically evaluate relevant theory and concepts, relate these to appropriate methodologies and evidence and draw appropriate conclusions.', '6': 'Analyse and interpret original research data with statistical or other evaluative processes where appropriate.', '7': 'Demonstrate sufficient mastery to understand and apply relevant experimental techniques and methods to collect original research data.', '8': 'Communicate and justify complex concepts and results clearly and effectively to a variety of audiences.', '9': 'Exercise personal, professional and social responsibility as a global citizen.'}"
ASCAD,Bachelor of Science (Advanced) (Honours),BSCH,2023,065138M,138004 (B Science Advanced),BScAdv Hons,,,,,,,90,"
Length
4 year full-time
","
Minimum
            192 Units
        ","If you are looking for that little bit extra in your degree, the Bachelor of Science (Advanced) (Honours) provides the same breadth of opportunities as the Bachelor of Science, with the addition of Honours Pathway Options that are designed to extend your understanding and introduce you to concepts that are more advanced than standard course activities. The fourth honours year allows exploration of research possibilities in your area of interest. It prepares you for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of your discipline, and through the design and implementation of a research project that develops new understandings or provides solutions to complex problems.For more information on our educational offerings, the university experience, career opportunities and student stories please visit our website. Get the inside story on what it’s like to be an ANU student by visiting our student blog.","{'1': 'Develop, apply, integrate and generate knowledge in educational and professional contexts.', '2': 'Develop and use a range of skills and methods to identify, analyse and respond to complex problems and issues.', '3': 'Work and learn in both independent and collaborative ways with others to encompass diverse abilities and perspectives.', '4': 'Plan and engage in an independent and sustained critical investigation of a chosen research topic to generate new knowledge.', '5': 'Systematically evaluate relevant theory and concepts, relate these to appropriate methodologies and evidence and draw appropriate conclusions.', '6': 'Analyse and interpret original research data with statistical or other evaluative processes where appropriate.', '7': 'Demonstrate sufficient mastery to understand and apply relevant experimental techniques and methods to collect original research data.', '8': 'Communicate and justify complex concepts and results clearly and effectively to a variety of audiences.', '9': 'Exercise personal, professional and social responsibility as a global citizen.'}"
ASSAN,Bachelor of Social Sciences (Honours in Actuarial Studies & Economics),BSOCSC(H,2023,050951E,,,Insurance and Actuarial Studie,,,,,,95,"
Length
4 year full-time
","
Minimum
            192 Units
        ","Are you wondering how you can apply your mathematical skills in an area that extends you and makes a difference to society? Do you want a degree from two globally respected institutions? Then this is the degree for you!This program commences in July/August each year at National University of Singapore.You will spend half of this four-year degree at the National University of Singapore and half of this degree at Australian National University receiving a world-class education at both institutions.Graduates will apply mathematical, statistical, financial, economic and other skills to untangle the most complex and difficult problems. This will prepare them to be thought leaders in financial fields such as insurance, superannuation, investments and other areas of great importance to our futures.",{'0': 'nil'}
BACCT,Bachelor of Accounting,BACC,2023,079653K,133503 (Bachelor of Accounting), ,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","The Bachelor of Accounting is designed to develop your knowledge and skills in reporting, analysing and managing financial resources in business and government entities. In addition to meeting the education requirements for membership of the Australian accounting professional bodies, the degree offers flexibility for you to study in related disciplines of your interest, including finance, business information systems, management, marketing, international business and corporate sustainability.You will be equipped with the ability to critically analyse emerging accounting issues, and be inspired by the professional and scholarly accounting research that provides you with insights into issues underlying the accounting numbers, thus fostering your academic and professional competence. Gaining these academic and professional attributes will enhance your accounting career opportunities, or pursuance of advanced accounting studies.","{'1': 'Integrate theoretical and technical accounting knowledge in a business context.', '2': 'Exercise judgement under supervision to provide possible solutions to routine accounting problems in straightforward contexts using where appropriate social, ethical, economic, regulatory, sustainability, governance and/or global perspectives.', '3': 'Critically apply theoretical and technical accounting knowledge and skills to provide possible solutions to routine accounting problems.', '4': 'Justify and communicate accounting advice and ideas to both specialists and non-specialists.'}"
BACTS,Bachelor of Actuarial Studies,BACT,2023,028147F,134403 (B Actuarial Studies), ,,,,,,,92,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Are you a maths whiz who wants stimulating work, limitless potential and an ever growing salary? This is the esteemed degree that will make you a thought leader in a wide variety of areas. With an ANU Bachelor of Actuarial Studies you can excel in your career literally anywhere in the world.Risk is all around us - in investment markets, on the roads, from our health and the climate. This degree will teach you how to apply your mathematical talent in understanding, measuring and managing these risks.Graduates will apply mathematical, statistical, financial, economic and other skills to untangle the most complex and difficult problems facing the commercial world.","{'1': ' utilise concepts in financial mathematics, including the time value of money, annuities, bond and loan calculations', '2': ' interpret the accounts and financial statements of companies and financial institutions.', '3': ' describe the fundamental concepts of micro and macroeconomics.', '4': ' apply mathematical statistics, regression modeling and other statistical techniques to actuarial problems', '5': ' describe and apply stochastic processes, survival models and their application in actuarial contexts', '6': ' model and value cashflows dependent on death, survival, illness, retirement, and other contingencies', '7': ' apply risk modelling techniques across a variety of financial contexts\xa0'}"
BADAN,Bachelor of Applied Data Analytics,BADAN,2023,094621D,135801 (B Applied Data Analytics), ,,,,,,,90,"
Length
3 year full-time
","
Minimum
            144 Units
        ","The Bachelor of Applied Data Analytics is a three year full-time (or equivalent part-time) inter-disciplinary degree that is designed to address a global shortage of graduates with skills in data analytics as applied to high-quality, data-informed decision-making. It is designed to develop inter-disciplinary knowledge across the three base disciplines of computing, statistics and social science.  You will receive exposure to best practice in data analytics as well as an opportunity to acquire knowledge in a discipline that relies on data analytics, or deepen knowledge in one of computation, statistics, or social science.","{'1': '\t\tSelect, adapt, apply, and communicate advanced data analytics methods and techniques;', '2': '\t\tApply data analytics to decision making about policy, business and service delivery;', '3': '\t\tExamine current issues in data analytics using leading-edge research and practices in the field;', '4': '\t\tDemonstrate strong cognitive, technical, and communication skills to work independently and collaboratively to collect, process, interpret and communicate the outcomes of data analytics problems; and', '5': '\t\tCommunicate complex data analytics outcomes to diverse audiences.'}"
BAHCR,Bachelor of Art History and Curatorship,BARTHC,2023,073993E,131100 (B Arts History & Curatorship), ,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","The Bachelor of Art History and Curatorship bridges the gap between art history as an academic discipline and the practicalities of curating collections and exhibitions.The degree locates the study of art in a range of historical, social, cultural and political contexts. You can focus on Australian, Asian and International art, both historical and contemporary, and participate in intensive art history courses taught overseas. You will be able to deepen your understanding of art practice through courses drawn from the School of Art & Design and be exposed to the museum environment through tutorials at national cultural institutions.","{'1': 'identify and critique the historical, social, cultural and political contexts of art;', '2': 'understand the relationship between art history, art theory and curatorial practices;', '3': 'evaluate and investigate the structures and practices of public cultural institutions through active engagement with museums and galleries; and', '4': 'demonstrate practical knowledge of the processes associated with caring for collections and developing exhibitions. '}"
BAPAF,Bachelor of Asia-Pacific Affairs,BAPAF,2023,NO CRICOS,132006 (B Asia Pacific Affairs), ,,,,,,,82,"
Length
4 year full-time
","
Minimum
            192 Units
        ","The Bachelor of Asia-Pacific Affairs provides students with an in-depth exploration of Asia-Pacific regional affairs drawing on the strength of ANU in four different subject and disciplinary areas including politics and government; international relations and security; conflict and peacebuilding; history and cultural identity. This innovative program will give students a unique opportunity to understand the transnational forces and contemporary challenges facing the Asia-Pacific region, and to deepen their understanding and appreciation of different Asia-Pacific cultures.The program will facilitate a cross-crediting arrangement with Ritsumeikan University (RU) in Japan that will allow for student mobility in both directions. Students who study at both ANU and RU will, upon successful completion (and with cross-crediting), be eligible for the Bachelor of Asia-Pacific Affairs (ANU) and the Bachelor of Global Liberal Arts (RU). Bachelor of Asia-Pacific Affairs (BAPAF) students commencing study at ANU will be required to undertake two years of study at ANU and two years of study at RU. This program is only open to domestic students and will admit up to 10 students per year to begin studies at ANU.Bachelor of Asia-Pacific Affairs (Ritsumeikan) (BAPAR) students must apply directly to RU and not through ANU. Students will commence study at RU and undertake three years of study at RU and one year of study at ANU. This program will admit up to 90 students per year to begin studies at RU’s Osaka Ibaraki campus.","{'1': 'Demonstrate a thorough knowledge of the historical and contemporary dimensions of politics and government, international relations and security, conflict and peacebuilding, and history and cultural identity in the Asia-Pacific region', '2': 'Use concepts and methods from the social sciences and humanities to develop, review, analyse, and synthesise knowledge about the Asia-Pacific region and its roles in the world', '3': 'Reflect critically on the principal factors that determine the major political, security, diplomatic, and historical issues in the Asia-Pacific region', '4': 'Engage with the Asia-Pacific region’s diversity in meaningful ways', '5': 'Critically apply theoretical frameworks and research techniques to understanding key issues in the Asia-Pacific region'}"
BAPAR,Bachelor of Asia-Pacific Affairs (Ritsumeikan),BAPAF,2023,096442B,, ,,,In Person,,,,82,"
Length
4 year full-time
","
Minimum
            192 Units
        ","The Bachelor of Asia-Pacific Affairs provides students with an in-depth exploration of Asia-Pacific regional affairs drawing on the strength of ANU in four different subject and disciplinary areas including politics and government; international relations and security; conflict and peacebuilding; history and cultural identity. This innovative program will give students a unique opportunity to understand the transnational forces and contemporary challenges facing the Asia-Pacific region, and to deepen their understanding and appreciation of different Asia-Pacific cultures.The program will facilitate a cross-crediting arrangement with Ritsumeikan University (RU) in Japan that will allow for student mobility in both directions. Students who study at both ANU and RU will, upon successful completion (and with cross-crediting), be eligible for the Bachelor of Asia-Pacific Affairs (ANU) and the Bachelor of Global Liberal Arts (RU). Bachelor of Asia-Pacific Affairs (BAPAF) students commencing study at ANU will be required to undertake two years of study at ANU and two years of study at RU. This program is only open to domestic students and will admit up to 10 students per year to begin studies at ANU.Bachelor of Asia-Pacific Affairs (Ritsumeikan) students must apply directly to RU and not through ANU. Students will commence study at RU and
undertake three years of study at RU and one year of study at ANU. This program will admit up to 90 students per year to begin studies at RU’s Osaka Ibaraki campus.","{'1': 'Demonstrate a thorough knowledge of the historical and contemporary dimensions of politics and government, international relations and security, conflict and peacebuilding, and history and cultural identity in the Asia-Pacific region', '2': 'Use concepts and methods from the social sciences and humanities to develop, review, analyse, and synthesise knowledge about the Asia-Pacific region and its roles in the world', '3': 'Reflect critically on the principal factors that determine the major political, security, diplomatic, and historical issues in the Asia-Pacific region', '4': 'Engage with the Asia-Pacific region’s diversity in meaningful ways', '5': 'Critically apply theoretical frameworks and research techniques to understanding key issues in the Asia-Pacific region'}"
BARTS,Bachelor of Arts,BA,2023,074016B,131003 (B Arts),BA,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","The Bachelor of Arts is the most diverse, most flexible, and most popular degree at The Australian National University. Each of its some fifty majors, in fields throughout the arts, humanities and social sciences, is taught by truly outstanding scholars to ensure that each student receives the very best education, is engaged with cutting-edge research, and learns to think like a researcher. These majors can be coupled with more than seventy minors and specialisations to broaden or deepen your study. Regardless of your choices, your Arts degree will provide you with core skills in critical analysis and in written and oral communication, while developing your adaptability and ability to help shape change and prepare you for a multifaceted career or further study.","{'1': '\t\tcritically apply theoretical frameworks and research techniques to understanding national and international issues and problems;', '2': '\t\tidentify, including through interrogation of databases, relevant sources of information from across a variety of media (print and digital, written and audio-visual) and judge the importance and reliability of those sources;', '3': '\t\tevaluate ideas and develop creative solutions to problems, including through independent pursuit of knowledge and making connections between different disciplinary approaches and methods;', '4': '\t\tcommunicate and debate both orally and in writing, and work with others, using a variety of media; and', '5': '\t\tunderstand the ethical implications of ideas, communications, and actions.'}"
BARTY,Bachelor of Arts (with Year in Asia),BARTY,2023,099464E,,BAYIA,,,In Person,,,,,"
Length
4 year full-time
","
Minimum
            192 Units
        ","The Bachelor of Arts is the most diverse, most flexible, and most popular degree at The Australian National University. Each of its some fifty majors, in fields throughout the arts, humanities and social sciences, is taught by truly outstanding scholars to ensure that each student receives the very best education, is engaged with cutting-edge research, and learns to think like a researcher. These majors can be coupled with more than seventy minors and specialisations to broaden or deepen your study. Regardless of your choices, your Arts degree will provide you with core skills in critical analysis and in written and oral communication, while developing your adaptability and ability to help shape change and prepare you for a multifaceted career or further study.
The Bachelor of Arts (with Year in Asia) is the perfect degree to establish yourself as a future leader in the Asian Century. You will combine study at ANU with one year at a university in an Asian location like Beijing, Tokyo, Seoul or Bangkok. Your Year in Asia will build on the strengths of your Bachelor degree. You will develop an advanced level of language proficiency and an exceptional capacity to understand the societies and cultures of our region. You will study with world-class teachers at ANU and then put your learning into practice on the ground in Asia.","{'1': 'Critically apply theoretical frameworks and research techniques to understanding national and international issues and problems;', '2': 'identify, including through interrogation of databases, relevant sources of information from across a variety of media (print and digital, written and audio-visual) and judge the importance and reliability of those sources', '3': 'Evaluate ideas and develop creative solutions to problems, including through independent pursuit of knowledge and making connections between different disciplinary approaches and methods, including in the target Asian language;', '4': 'Communicate and debate both orally and in writing, and work with others, using a variety of media; and', '5': 'Understand the ethical implications of ideas, communications, and action', '6': 'Communicate in the target language with fluency and spontaneity making it possible for the student to interact with native speakers in the target language with minimum strain for either party.', '7': 'Accurately understand and summarise the central ideas of texts on both concrete and abstract topics familiar to the student in the target language', '8': 'Confidently discuss abstract and concrete issues related to their disciplinary focus in an academic setting in the target language.', '9': ""Identify, critically analyse and discuss diverse issues relevant to one's study and life with their classmates and beyond in their target language""}"
BASIA,Bachelor of Asian Studies,BAS,2023,082710B,132005 (B Asian Studies), ,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Australia is increasingly looking to Asia - strategically, economically, politically, and culturally - and all eyes are on the graduates of tomorrow to take us there. Watch our video to find out how this degree will prepare you for a successful career in the Asian Century.With a Bachelor of Asian Studies you will master an Asian language, acquire in-depth contextual and regional knowledge, and graduate with the kind of Asian literacy that gets you noticed by employers.And if you love adventure, we offer you a variety of study opportunities in the region so you can experience Asia first hand. Plus we’ll provide you with funding to help get you there.Our community
of scholars, policymakers, researchers and students is proudly interdisciplinary and interregional. Our teaching and research drives Australia’s engagement and understanding of its neighbouring regions. Majors and minors in the Bachelor of Asian Studies can be based on a language, a region or a discipline – for example, Modern Chinese Language, Asia-Pacific Politics, Japanese Studies and many others. We encourage students who begin the study of an Asian language at university to complete a full language major in order to graduate with the proficiency required to function as an Asia specialist in the increasingly competitive job market. Placement testing allows students with existing expertise in a language to enter at their current proficiency level.","{'1': ' Critically apply theoretical frameworks and research techniques to understand the global significance of Asia as a region and as a composite of diverse societies and cultures;', '2': ' Demonstrate a nuanced understanding of the regional diversity of the societies and cultures that make up Asia;', '3': ' Exercise critical thinking and judgment in identifying and solving problems, individually and in groups.'}"
BASY,Bachelor of Asian Studies (with Year in Asia),BASY,2023,099468A,,BAsStYIA,,,In Person,,,,,"
Length
4 year full-time
","
Minimum
            192 Units
        ","Australia is increasingly looking to Asia - strategically, economically, politically, and culturally - and all eyes are on the graduates of tomorrow to take us there. With a Bachelor of Asian Studies you will master an Asian language, acquire in-depth contextual and regional knowledge, and graduate with the kind of Asian literacy that gets you noticed by employers.Our community of scholars, policymakers, researchers and students is proudly interdisciplinary and interregional. Our teaching and research drives Australia’s engagement and understanding of its neighbouring regions. Majors and minors in the Bachelor of Asian Studies can be based on a language, a region or a discipline – for example, Modern Chinese Language, Asia-Pacific Politics, Japanese Studies and many others. We encourage students who begin the study of an Asian language at university to complete a full language major in order to graduate with the proficiency required to function as an Asia specialist in the increasingly competitive job market. The Bachelor of Asian Studies (with Year in Asia) is the perfect degree to establish yourself as a future leader in the Asian Century. You will combine study at ANU with one year at a university in an Asian location like Beijing, Tokyo, Seoul or Bangkok. Your Year in Asia will build on the strengths of your Bachelor degree. You will develop an advanced level of language proficiency and an exceptional capacity to understand the societies and cultures of our region. You will study with world-class teachers at ANU and then put your learning into practice on the ground in Asia.","{'1': 'Critically apply theoretical frameworks and research techniques to understand the global significance of Asia as a region and as a composite of diverse societies and cultures;', '2': 'Demonstrate an understanding of different disciplinary approaches and methods drawn from the humanities and social sciences, to synthesise knowledge about Asia, its regions, and its place in the world;', '3': 'Demonstrate a nuanced understanding of the regional diversity of the societies and cultures that make up Asia;', '4': 'Evaluate ideas and debate issues using academic and applied styles, in both English and an Asian language;', '5': 'Exercise critical thinking and judgment in identifying and solving problems, individually and in groups.', '6': 'Communicate in the target language with fluency and spontaneity making it possible for the student to interact with native speakers in the target language with minimum strain for either party.', '7': 'Accurately understand and summarise the central ideas of texts on both concrete and abstract topics familiar to the student in the target language', '8': 'Confidently discuss abstract and concrete issues related to their disciplinary focus in an academic setting in the target language', '9': ""Identify, critically analyse and discuss diverse issues relevant to one's study and life with their classmates and beyond in their target language""}"
BBIOT,Bachelor of Biotechnology,BBIO,2023,036660M,138503 (B Biotechnology), ,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Place yourself at the forefront of innovation with the ANU Bachelor of Biotechnology.Biotechnology is about applying new technologies to agriculture, food and medicine production, and environmental problems in the context of research, industry and the applied health sciences.In this cutting-edge degree, you’ll learn the foundations of biology such as molecular and cellular biology, biotechnology and microbiology, as well as contemporary topics such as societal and ethical issues of biotechnology and intellectual property.Find out more about biotechnology, the degree structure, the university experience, career opportunities and student stories on our website.Get the inside story on what it’s like to be an ANU student by visiting our student blog.This program is not available for Semester 2 commencement.","{'1': 'understand and evaluate the significance of biotechnological discoveries in educational and professional contexts;', '2': 'apply a range of technological skills and laboratory techniques to addressing specific problems in the field of biological research;', '3': 'use a range of analytical techniques for the interpretation of biological data to address specific hypotheses;', '4': 'convey and relate professional and disciplinary information and ideas to diverse audiences in effective and appropriate ways;', '5': 'function in public and professional situations as an interpreter of biotechnological information in the public domain;', '6': 'exercise personal, professional and social responsibility as a global citizen.'}"
BBUSA,Bachelor of Business Administration,BBA,2023,062745A,133403 (B Business Administration), ,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","What does it take to start a successful new business, to lead an organisation, to plan and manage a complex project? How do leaders negotiate, resolve conflict, and manage across cultures in the global workplace?The BBA will answer these questions and, more importantly, help you develop skills to go out and do these things in the real world.The BBA is flexible so you can build on your strengths. For example, you have a wide choice about how much mathematical content to include in your degree.","{'1': 'review, analyse, consolidate and synthesise organisational knowledge', '2': 'demonstrate a broad understanding of management and leadership knowledge with depth in some areas', '3': 'exercise critical thinking and judgement in identifying and solving problems with intellectual independence', '4': 'present a clear, coherent and independent exposition of management knowledge and ideas', '5': 'demonstrate initiative and judgement in planning, problem solving and decision making in professional practice and/or scholarship', '6': 'adapt knowledge and skills in diverse business contexts', '7': 'demonstrate responsibility and accountability for own learning and professional practice and in collaboration with others within broad parameters'}"
