course-code,learning-outcomes-id,learning-outcomes
ACST8041,7,Manage the business and respond to the experience relating to actuarial problems.
ACST8050,1,Introduction to research training and projects in areas of current actuarial interest.
ACST8051,1,Demonstrate a detailed understanding of the topics outlined in the class summary.
ACST8051,2,"Demonstrate a high-level mastery of concepts associated with the topics studied, as discussed by the course convener."
ACST8052,1,To be advised at the time the course is next offered.
ACST8060,1,Demonstrate an understanding of risk management frameworks for financial organisations in different regulatory environments.
ACST8060,2,Demonstrate an understanding of the relevance of ERM to stakeholders.
ACST8060,3,Describe and show an understanding of different risk categories.
ACST8060,4,"Recommend methods to manage an organisation’s risk, including risk optimisation, and management of market risk, credit risk, operational and other risks."
ACST8060,5,Demonstrate an understanding of economic capital and capital allocation.
ACST8061,1,Describe in detail the properties and limitations of common risk measures.
ACST8061,2,Explain how models can be used in the ERM decision-making process.
ACST8061,3,"Demonstrate an understanding of, and be able to explain the different quantitative techniques for modelling and measuring risk including risk aggregation methods, statistical distributions, copulas, time series techniques, and extreme value theory."
ACST8061,4,Recommend and communicate appropriate models for risk assessment based on quantitative and qualitative analysis.
ACST8061,5,"Assess and explain the different types of risk within an organisation including: market risk, credit risk, operational and other risks."
ACST8500,0,nil
ANCH1013,1,evaluate the historical value of ancient sources;
ANCH1013,2,research and write about ancient Greece;
ANCH1013,3,construct and criticise arguments; and
ANCH1013,4,effectively present material orally and in writing.
ANCH1014,1,critically engage with the political and social history and culture of the Roman Republic and Empire;
ANCH1014,2,analyse and evaluate primary historical sources;
ANCH1014,3,conduct research using the primary sources and modern scholarship on the period;
ANCH1014,4,formulate logical arguments based on the primary source evidence;
ANCH1014,5,communicate clearly and effectively in both oral and written modes;
ANCH2015,1,demonstrate familiarity with an important body of written and material evidence for the history of classical Greece and Rome;
ANCH2015,2,"evaluate the development of geographical ideas and knowledge in antiquity, and gain insights into the practicalities and social attitudes governing travel and mobility in the ancient world;"
ANCH2015,3,"demonstrate competency in handling difficult, tendentious, and fragmentary evidence, and skills in close reading and analysis;"
ANCH2015,4,"demonstrate capacities for working in groups and presenting material, ideas and arguments orally; and"
ANCH2015,5,"demonstrate capacities in analytical, argumentative and descriptive writing."
ANCH2017,1,"critically engage with the politics, society and culture of the Roman Empire;"
ANCH2017,2,analyse and evaluate primary historical sources;
ANCH2017,3,conduct research using the primary sources and modern scholarship on the period;
ANCH2017,4,formulate logical arguments based on the primary source evidence; and
ANCH2017,5,communicate clearly and effectively in both oral and written modes;
ANCH2026,1,read sources from Late Antiquity critically;
ANCH2026,2,research and write about Europe during Late Antiquity and the early Middle Ages;
ANCH2026,3,"construct and criticise arguments, and effectively present material orally and in writing;"
ANCH2026,4,understand the ways other societies differ from our own; and
ANCH2026,5,understand the ways in which Roman practices passed into European culture.
ANCH3504,1,critically engage with the political and social histories and cultures of the Hellenistic Mediterranean world;
ANCH3504,2,analyse and evaluate primary historical sources;
ANCH3504,3,conduct research using the primary sources and modern scholarship on the period;
ANCH3504,4,formulate logical arguments based on the primary source evidence; and
ANCH3504,5,communicate clearly and effectively in both oral and written modes.
ANCH6103,1,Evaluate critically the historical value of ancient sources.
ANCH6103,2,"Research and write at an advanced level about ancient Athens, democracy and the Empire."
ANCH6103,3,Skilfully construct and criticise arguments.
ANCH6103,4,"Effectively present material orally and in writing, including explaining research ideas to a group"
ANCH6103,5,Display sophisticated insight into the ways other societies differ from our own.
ANCH6104,1,critically engage with the political and social history and culture of the Roman Republic and Empire;
ANCH6104,2,analyse and evaluate a wide range of primary historical sources;
ANCH6104,3,conduct research using both the primary sources and a wide range of modern scholarship on the period;
ANCH6104,4,formulate comprehensive logical arguments based on the primary source evidence;
ANCH6104,5,communicate clearly and effectively in both oral and written modes; and
ANCH6501,1,demonstrate familiarity with an important body of written and material evidence for the history of classical Greece and Rome;
ANCH6501,2,"evaluate the development of geographical ideas and knowledge in antiquity, and gain insights into the practicalities and social attitudes governing travel and mobility in the ancient world;"
ANCH6501,3,"demonstrate competency in handling difficult, tendentious, and fragmentary evidence, and skills in close reading and analysis;"
ANCH6501,4,"demonstrate capacities for working in groups and presenting material, ideas and arguments orally; and"
ANCH6501,5,"demonstrate capacities in analytical, argumentative and descriptive writing."
ANIP3003,1,"demonstrate and apply, with basic understanding, a range of applied research and professional skills;"
ANIP3003,2,"source, analyse, synthesise, and interpret information from diverse sources;"
ANIP3003,3,"think, write, and argue about complex public policy issues and questions; and"
ANIP3003,4,engage professionally with stakeholders on policy-relevant topics.
ANIP3005,1,"demonstrate and apply, with sound understanding, a range of applied research and professional skills;"
ANIP3005,2,"source, analyse, synthesise, and interpret information from diverse sources;"
ANIP3005,3,"think, write, and argue about complex public policy issues and questions; and"
ANIP3005,4,engage professionally with stakeholders on policy-relevant topics.
ANIP3007,1,"demonstrate and apply, with sophisticated understanding, a range of applied research and professional skills;"
ANIP3007,2,"source, analyse, synthesise, and interpret information from diverse sources;"
ANIP3007,3,"think, write, and argue about complex public policy issues and questions; and"
ANIP3007,4,engage professionally with stakeholders on policy-relevant topics.
ANIP6503,1,"demonstrate and apply, with basic understanding, a range of applied research and professional skills;"
ANIP6503,2,"source, analyse, synthesise, and interpret information from diverse sources;"
ANIP6503,3,"think, write, and argue about complex public policy issues and questions; and"
ANIP6503,4,engage professionally with stakeholders on policy-relevant topics.
ANIP6505,1,"demonstrate and apply, with sound understanding, a range of applied research and professional skills;"
ANIP6505,2,"source, analyse, synthesise, and interpret information from diverse sources;"
ANIP6505,3,"think, write, and argue about complex public policy issues and questions; and"
ANIP6505,4,engage professionally with stakeholders on policy-relevant topics.
ANIP6507,1,"demonstrate and apply, with sophisticated understanding, a range of applied research and professional skills;"
ANIP6507,2,"source, analyse, synthesise, and interpret information from diverse sources;"
ANIP6507,3,"think, write, and argue about complex public policy issues and questions; and"
ANIP6507,4,engage professionally with stakeholders on policy-relevant topics.
ANTH1002,1,"demonstrate foundational disciplinary knowledge of anthropology, archaeology and biological anthropology;"
ANTH1002,2,understand the diversity of theoretical and methodological frameworks (differences and similarities) across the three disciplines;
ANTH1002,3,demonstrate capacity for critical analysis of case studies and important empirical and conceptual issues relating to human diversity through the various disciplinary lenses; and
ANTH1002,4,"evaluate how the disciplines are relevant to a better understanding of past, present and future societies."
ANTH1003,1,"understand the core language and key conceptual approaches found in anthropological and related social science writing on globalisation and development, allowing them to read and comprehend such texts independently;"
ANTH1003,2,"apply the core language and key concepts of the anthropology of globalisation to real life case studies, thus producing a critical analysis of practices and discourses of globalisation and development;"
ANTH1003,3,"identify and debate the ethical issues around our participation in practices of globalisation that act to produce extreme forms of social, economic and environmental inequality and exploitation, and identify ways of being better ""global citizens""; and"
ANTH1003,4,interact and work with peers on team based activities in a productive and mutually supportive way.
ANTH2005,1,demonstrate an informed understanding of the complexities of Australian Indigenous cultures and traditions prior to invasion and their continuities in a colonising context';
ANTH2005,2,appreciate the diversity of Indigenous societies and cultures prior to invasion and their continuities in a colonising context';
ANTH2005,3,"describe some of the basic features of Indigenous economic, social and religious life and their interrelationships;"
ANTH2005,4,demonstrate knowledge of selected fundamental concepts in anthropology and the debates around them; and
ANTH2005,5,demonstrate capacity to analyse public and scholarly debates and summarise findings and develop research habits.
ANTH2009,1,Critically evaluate development programs and projects in terms of their social and cultural impact.
ANTH2009,2,Apply anthropological concepts and theories to an understanding of planned social change.
ANTH2009,3,Critically examine key ethnographic writing in terms of its theoretical and methodological approach.  
ANTH2009,4,Present and engage in group discussion about development.
ANTH2009,5,Devise strategies for successful development outcomes.
ANTH2017,1,demonstrate an understanding of selected contemporary debates relating to Indigenous Australia and an ability to deconstruct them;
ANTH2017,2,"identify, analyse and critically engage with settler-colonialism in Australia;"
ANTH2017,3,demonstrate the capacity to critically reflect on the multiple ways that meaning can be constructed;
ANTH2017,4,demonstrate the capacity to analyse public and scholarly debates and summarise findings; and
ANTH2017,5,develop research habits.
ANTH2025,1,recognise and describe a wide range of (often unfamiliar) knowledges and practices pertaining to sex/gender found throughout the world;
ANTH2025,2,interrogate and denaturalise assumptions about sex/gender found in contemporary western societies (including Australia);
ANTH2025,3,identify the ethnocentric character of many concepts used by theorists of sex/gender; and
ANTH2025,4,"analyse the place and meaning, in their own cultural contexts, of a range of gendered beliefs and practices."
ANTH2026,1,"Discuss the relevance of anthropological concepts for
studying health and healing."
ANTH2026,2,"Identify key features of anthropological approaches to health
and healing."
ANTH2026,3,"Assess the strengths and weaknesses of different
anthropological approaches to health and healing."
ANTH2026,4,"Formulate anthropological areas of inquiry and questions
to be applied to issues of health and healing."
ANTH2026,5,"Recognize differences and similarities in various healing
systems."
ANTH2026,6,"Work collaboratively to communicate the social
significance of important medical and health issues."
ANTH2026,7,"Demonstrate skills in critical reading, thinking,
writing, and public presentation.

"
ANTH2129,1," Make significant progress towards mastering the core language and key conceptual approaches found in anthropological and related social science writing on migration, allowing them to read and comprehend such texts independently."
ANTH2129,2,"Apply the core language and key concepts of the anthropology of migration to real life case studies, thus producing a critical analysis of practices and discourses around migration."
ANTH2129,3,"Independently research and analyse individual and communal experiences of migration using both secondary sources (academic) and primary sources (interviews, media and online resources, etc)."
ANTH2129,4,"Identify and debate ethical and political issues around a variety of practices of migration and migrant incorporation into host communities and labour markets (e.g. racism, social marginalisation, and exploitation under harsh labour regimes)."
ANTH2129,5,"Interact and work with class peers on team based assessments in a socially intelligent, productive and mutually supportive way."
ANTH2130,0,nil
ANTH2132,1,understand the relevance of studying food anthropologically;
ANTH2132,2,appreciate the cultural dimensions of food;
ANTH2132,3,"understand the various roles of food in webs of power and disempowerment, globalisation, bodies, social relations and culture;"
ANTH2132,4,participate in a community of scholars organised around an interest in food; and
ANTH2132,5,apply anthropological ideas and techniques to the study of food.
ANTH2134,1,Discuss different understandings of the concept ‘state’ from anthropology and cognate disciplines
ANTH2134,2,"Understand the nature of institutions regularly considered definitive of (if not always exclusive to) states, such as ‘legitimate violence’, citizenship, bureaucracy, census, taxation, education, security and sovereignty "
ANTH2134,3,"Analyse the effects in everyday life, of specific examples of state processes and practices."
ANTH2134,4,Interpret and evaluate a sample of major theoretical debates in anthropology in terms of which state practices and processes have been examined.
ANTH2134,5,"Identify, locate and evaluate primary sources relating to a particular instance of state practice/process, or issues arising around it."
ANTH3010,1,pursue guided investigation of a topic relevant to anthropology;
ANTH3010,2,"synthesise relevant knowledge and articulate gaps, puzzles or extensions of that knowledge that can be the focus of their own research agenda;"
ANTH3010,3,carry out research on particular readily available resources and materials relevant to the problem; and
ANTH3010,4,communicate learning in written format.
ANTH3014,1,"Complete an Enrolment
     Variation Form (including the Course Code, Class number and Session)."
ANTH3014,2,"Submit the Form via
     email to ug.students.cass@anu.edu.au
     or in person to the CASS Student Office. If the course requires permission,
     please include an email from the Course Convenor."
ANTH3014,3,"Submit your request as
     early as possible prior to the commencement of the relevant Session,
     allowing up to 3 weeks for processing."
ANTH3014,4,"Please take note of the Overload
     Policy, which may apply if you are enrolling in a non-standard session."
ANTH3016,1,develop practical writing skills and logical and analytical thinking 
ANTH3016,2,"have a greater appreciation and understanding of social science field
research methods"
ANTH3016,3,"analyse an anthropological/ development issue they have encountered in
their fieldwork with reference to the wider literature"
ANTH3016,4,"have an understanding of the principles, methodologies, value systems and
ethics employed in social scientific inquiry"
ANTH3016,5,"understand from their own experience some of the dynamics of intensive
cross cultural experience"
ANTH3016,6,present a detailed research report orally to a group of peer
ANTH3017,1,Discuss the history of events and factors in the emergence of examples of international and national indigenous movements and activisms.
ANTH3017,2,Understand the relation of this emergence to theory and practice both in development and anthropology.
ANTH3017,3,"Draw upon major theoretical debates in anthropology in terms of which this emergence has been understood, and to interpret and evaluate these theoretical approaches. "
ANTH3017,4,"Interpret and evaluate approaches written specifically from indigenous perspectives. Identify, locate and evaluate primary sources relating to a particular instance of state practice/process, or issues arising around it."
ANTH3059,1,identify and explain the history and significance of ethnography within anthropological research methods;
ANTH3059,2,define an object of study and formulate research questions related to an applied hands-on internship over the course of the semester;
ANTH3059,3,design and apply anthropological research methods related to a specific site or social context; and
ANTH3059,4,"identify communities of engagement, evaluate findings and explain them to the community."
ANTH4011,1,"demonstrate extended acquisition of a systematic and coherent body of knowledge of anthropological theory, its underlying principles and concepts;"
ANTH4011,2,critically apply theoretical concepts to anthropological theory;
ANTH4011,3,apply extended knowledge acquired in their own written work as well as in class discussion; and
ANTH4011,4,demonstrate the development of a foundation for self-directed learning.
ANTH4012,1,"Identify and research a particular topic or strand of
argument in anthropological literature;"
ANTH4012,2,"Create basic themes and structures to formulate research
questions;"
ANTH4012,3,"Explain the notion of `ethnography’ in the
anthropological tradition, and some of its conventions, as well as changes in
it."
ANTH4012,4,"Examine the relationship between the conceptual
background and the ethnographic research material in ethnographies studied. "
ANTH6002,1,"demonstrate foundational disciplinary knowledge of anthropology, archaeology and biological anthropology;"
ANTH6002,2,understand the diversity of theoretical and methodological frameworks (differences and similarities) across the three disciplines;
ANTH6002,3,demonstrate capacity for critical analysis of case studies and important empirical and conceptual issues relating to human diversity through the various disciplinary lenses;
ANTH6002,4,"evaluate how the disciplines are relevant to a better understanding of past, present and future societies; and"
ANTH6002,5,"demonstrate a knowledge of how and when to apply appropriate concepts and theories to produce a novel, critical analysis in a given work or research context."
ANTH6003,1,"understand the core language and key conceptual approaches found in anthropological and related social science writing on globalisation and development, allowing them to read and comprehend such texts independently;"
ANTH6003,2,"apply the core language and key concepts of the anthropology of globalisation to real life case studies, thus producing a critical analysis of practices and discourses of globalisation and development;"
ANTH6003,3,"identify and debate the ethical issues around our participation in practices of globalisation that act to produce extreme forms of social, economic and environmental inequality and exploitation, and identify ways of being better ""global citizens"";"
ANTH6003,4,interact and work with peers on team based activities in a productive and mutually supportive way; and
ANTH6003,5,"demonstrate a knowledge of how and when to apply appropriate concepts and theories to produce a novel, critical analysis in a given work or research context."
ANTH6005,1,demonstrate an informed understanding of the complexities of Australian Indigenous cultures and traditions prior to invasion and their continuities in a colonising context;
ANTH6005,2,appreciate the diversity of Indigenous societies and cultures prior to invasion and their continuities in a colonising context;
ANTH6005,3,"describe some of the basic features of Indigenous economic, social and religious life and their interrelationships;"
ANTH6005,4,demonstrate knowledge of selected fundamental concepts in anthropology and the debates around them; and
ANTH6005,5,demonstrate capacity to analyse public and scholarly debates and summarise findings and develop research habits.
ANTH6009,1,critically evaluate development programs and projects in terms of their social and cultural impact;
ANTH6009,2,apply anthropological concepts and theories to an understanding of planned social change;
ANTH6009,3,critically examine key ethnographic writing in terms of its theoretical and methodological approach;
ANTH6009,4,present and engage in group discussion about development;
ANTH6009,5,devise strategies for successful development outcome; and
ANTH6009,6,"critically examine the interaction between government, non-government organisations and civil society in development."
ANTH6017,1,demonstrate an understanding of selected contemporary debates relating to Indigenous Australia and an ability to deconstruct them;
ANTH6017,2,"identify, analyse and critically engage with settler-colonialism in Australia;"
ANTH6017,3,demonstrate the capacity to critically reflect on the multiple ways that meaning can be constructed;
ANTH6017,4,demonstrate the capacity to analyse public and scholarly debates and summarise findings; and
ANTH6017,5,develop research habits.
ANTH6025,1,1. Recognise and describe a wide range of (often unfamiliar) knowledges and practices pertaining to sex/gender found throughout the world;
ANTH6025,2,2. Interrogate and denaturalise assumptions about sex/gender found in contemporary western societies (including Australia);
ANTH6025,3,3. Identify the ethnocentric character of many concepts used by theorists of sex/gender;
ANTH6025,4,"4. Analyse the place and meaning, in their own cultural contexts, of a range of gendered beliefs and practices; and"
ANTH6025,5,5. Design and carry out an individual research project in the anthropology of gender.
ANTH6026,1,discuss the relevance of advanced anthropological concepts for studying health and healing;
ANTH6026,2,identify key features of advanced anthropological approaches to health and healing;
ANTH6026,3,assess and critically compare the strengths and weaknesses of different anthropological approaches to health and healing;
ANTH6026,4,formulate well-researched anthropological areas of inquiry and questions to be applied to issues of health and healing;
ANTH6026,5,recognise and analyze the differences and similarities in various healing systems based on advanced anthropological concepts;
ANTH6026,6,work collaboratively to communicate the social significance of important medical and health issues and reflect on the process; and
ANTH6026,7,"demonstrate advanced skills in critical reading, thinking, writing, and public presentation."
ANTH6064,1,place the concept of disasters in both historical and current perspectives and recognize factors that influence preparedness and both the short and long-term response to environmental disasters;
ANTH6064,2,compile information from a variety of academic resources to identify common themes in long-term population responses to disasters across cultures and across species and understand how and why responses are similar or different;
ANTH6064,3,use a historical case study to explain how an environmental disaster has impacted a specific population of human and/or non-human primate;
ANTH6064,4,critically analyse existing disaster relief plans; and
ANTH6064,5,use historical examples to predict how populations may be expected to respond to current natural disasters and use this information to determine possible effective relief plans.
ANTH6065,1,"demonstrate an understanding of, and ability to, apply core social science methods during their field based study, by conducting independent social scientific field research;"
ANTH6065,2,"analyse key elements of Indonesian society and culture, including social, economic and political change, and understand and apply the key issues of participatory development and service learning;"
ANTH6065,3,"use empirical case examples to explore key concepts, themes and theories from anthropology and other disciplinary areas covered in the course through a first-hand appreciation of living conditions in Indonesian villages;"
ANTH6065,4,"select, analyse and present field material from their hamlet research;"
ANTH6065,5,demonstrate familiarity with basic Indonesian language and social conventions; and
ANTH6065,6,reflect analytically on their personal field school experience in cross-cultural communication and development methodology.
ANTH6066,1,"develop practical writing skills and logical and
analytical thinking to an advanced level;"
ANTH6066,2,"have a greater appreciation and understanding of social
science field research methods and the debates surrounding those methods;"
ANTH6066,3,"analyse an anthropological/ development issue they have
encountered in their fieldwork with reference to the wider literature and to
advanced anthropological and development studies theory;"
ANTH6066,4,"have an understanding of the principles, methodologies,
value systems and ethics employed in social scientific inquiry;"
ANTH6066,5,"understand from their own experience some of the
dynamics of intensive cross cultural experience;"
ANTH6066,6,"present a detailed research report orally to a group of
peers and participate in discussions that arise from that report; and"
ANTH6066,7,"reflect on the socio-political dynamics of the research
and development field school experience

"
ANTH6134,1,discuss different understandings of the concept `state’ from anthropology and cognate disciplines;
ANTH6134,2,"understand the nature of institutions regularly considered definitive of (if not always exclusive to) states, e.g.: `legitimate violence’, citizenship, bureaucracy, census, taxation, education, security, sovereignty;"
ANTH6134,3,"analyse the effects in everyday life, of specific examples of state processes and practices;"
ANTH6134,4,discuss a sample of major theoretical debates in anthropology in terms of which state practices and processes have been examined;
ANTH6134,5,"identify, locate and evaluate primary sources relating to a particular instance of state practice/process, or issues arising around it; and"
ANTH6134,6,examine how traditions of studying the state relate to research.
ANTH6515,1,"Demonstrate competence in the core language and key conceptual approaches found in anthropological and related social science writing on migration, allowing them to read and comprehend such texts independently."
ANTH6515,2,"Apply the core language and key concepts of the anthropology of migration to real life case studies, thus producing a critical analysis of practices and discourses around migration."
ANTH6515,3,"Independently research and analyse individual and communal experiences of migration using both secondary sources (academic) and primary sources (interviews, media and online resources, etc)."
ANTH6515,4,"Identify and debate ethical and political issues around a variety of practices of migration and migrant incorporation into host communities and labour markets (e.g. racism, social marginalisation, and exploitation under harsh labour regimes)."
ANTH6515,5,"Interact and work with class peers on team based assessments in a socially intelligent, productive and mutually supportive way."
ANTH6516,0,nil
ANTH6518,1,Evaluate the relevance of studying food anthropologically; 
ANTH6518,2,Appreciate the cultural dimensions of food;
ANTH6518,3,"Understand the various roles of food in webs of power and disempowerment, globalisation, bodies, social relations and culture;"
ANTH6518,4,Participate in a community of scholars organised around an interest in food;
ANTH6518,5,Build in-depth knowledge of particular topics according to the student's own program of study to the student's own emerging interests; and
ANTH6518,6,Critically apply anthropological ideas and techniques to the study of food.
ANTH8001,1,Demonstrate a command of the relevant anthropological literature related to a chosen topic. 
ANTH8001,2,"Pose an original research question, or argument, which is situated within the relevant theoretical literature related to the chosen topic. "
ANTH8001,3,Explain the significance of the research project in the context of the literature and the implications of what has been learned in conducting a project.
ANTH8007,1,explain the social science background to a number of key development concepts;
ANTH8007,2,"critically evaluate the use of particular concepts in development projects, policy, and practice;"
ANTH8007,3,"write a critical case study of the role of a key development concept, exemplifying ability to use primary sources; and"
ANTH8007,4,evaluate the differences between social science and specifically development-related perspectives on the concepts and practice.
ANTH8009,1,understand the range of organisations involved in development work and the issues they face in delivering strong development outcomes;
ANTH8009,2,critically appraise such organisations in terms of their effectiveness and identify which development institution is most relevant in a particular context; and
ANTH8009,3,appraise a development project or policy in terms of the likely political and institutional constraints.
ANTH8019,1,explore and compare the formulation of research questions in the social sciences and in development;
ANTH8019,2,utilise a range of basic (largely qualitative) data-collection methods used in the social sciences and in development work and awareness of practical and critical issues in the use of these methods; and
ANTH8019,3,explore a range of ethical issues relevant to social research.
ANTH8028,1,Demonstrate an understanding of the legal and policy contexts in which social impact studies are undertaken.
ANTH8028,2,Determine what methods and approaches are appropriate to assess social impacts in different sectors and contexts.
ANTH8028,3,Critically evaluate social impact studies that have already been undertaken.
ANTH8028,4,Contribute to the design of social impact studies.
ANTH8035,1,"demonstrate extended acquisition of a systematic and coherent body of knowledge of anthropological theory, its underlying principles and concepts;"
ANTH8035,2,critically apply theoretical concepts to anthropological theory;
ANTH8035,3,apply extended knowledge acquired in their own written work as well as in class discussion; and
ANTH8035,4,demonstrate the development of a foundation for self-directed learning.
ANTH8038,1,Demonstrate a critical appreciation of almost all the major gender issues in development;
ANTH8038,2,"Develop a deep understanding of the concepts and approaches used by development scholars and practitioners, linking them to gender and development theory;"
ANTH8038,3,"Identify the main challenges and gaps related to gender, and formulate development projects from a gender perspective;"
ANTH8038,4,Appraise a development project or policy in terms of the likely gender impacts;
ANTH8038,5,Reflect critically on their own experiences of gender and development in light of the concepts and methods introduced in the course.
ANTH8039,1,"Critically examine and apply the concepts and approaches used by development scholars and practitioners, linking them to gender and development theory;"
ANTH8039,2,"Explain, distinguish and critically examine the main challenges related to gender, be able to identify the gaps and formulate development projects from a gender perspective;"
ANTH8039,3,Critically evaluate data from a gender perspective;
ANTH8039,4,"Appraise and reflect on the critical issues in development projects or policies, and assess the likely gender impacts;"
ANTH8039,5,"Critically analyse complex problems, concepts and theories of Gender and Development (GAD)."
ANTH8039,6,Reflect critically on their own experiences of gender and development in light of the concepts and methods introduced in the course.
ANTH8044,1,"Understand and compare the social and political context for interaction between local landowners, civil society, state and private sector actors in selected countries of the Asia-Pacific region."
ANTH8044,2,Explain the significance of and parameters for equitable and informed negotiation over resource issues between these groups.
ANTH8044,3,"At a case-specific level, carry out in-depth research and detailed analysis on the critical social factors and issues affecting relationships between these groups of actors, and evaluate current processes."
ANTH8044,4,Contribute to the design and implementation of effective and collaborative negotiation processes between these groups of actors.
ANTH8047,1,"Understand and compare the social and political context for interaction between local landowners, civil society, state and private sector actors in selected countries of the Asia-Pacific region."
ANTH8047,2,Explain the significance of and parameters for equitable and informed negotiation over resource issues between these groups.
ANTH8047,3,Contribute to the design and implementation of effective and collaborative negotiation processes between these groups of actors.
ANTH8050,1,Pose a significant research question relating to their discipline;
ANTH8050,2,"Investigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to the discipline, and place these investigations in the context of the relevant intellectual tradition; and"
ANTH8050,3,Communicate their research and its findings through an appropriate medium.
ANTH8056,1,demonstrate a critical appreciation of the key concepts and approaches used by development scholars and practitioners who work in humanitarian interventions;
