major-code,major-name,major-acronym,major-year,areas-of-interest,academic-career,academic-contact,first-owner,degree-summary__requirements-units,introduction,learning-outcomes,requirements
CSCI-MAJ,Computer Science,CSCI,2023,Computer Science,Undergraduate,Dr Uwe Zimmer,,"
Total units
            48 Units
        ","Computer Science is the study of information and computation of algorithms, data and computing systems which accept, store, transform and present data in ways that contribute to knowledge and the well-being of society.In the Computer Science major you will learn the underlying principles and theory used in developing computational solutions to problems including a study of data structures, algorithms, and programming languages and their use in translating solutions into software systems. Within the Computer Science major, you can choose to specialise in modern fields of computer science and software development, including artificial intelligence, computational theory, computer systems, human-centric computing, and information-intensive computing. By completing the major, you will develop a deep understanding of software development, software systems or computer science theory, with many applications to fields in Science or further studies in Computer Science. There are also excellent career opportunities for graduates with these backgrounds in business, industry and government as programmers, systems analysts, computer systems and network managers, user support officers and software engineers.","{'1': 'Understand the basic principles and theory used in developing computational solutions to problems. These include the ability to use formal notations and the use of the principle of abstraction.', '2': 'Apply a range of skills to analyse problems and construct a reliable computational solution. This includes the identification of requirements, separation of concerns, and testing.', '3': 'Understand the connections between computing and other disciplines, and recognize computational ideas embedded in other contexts.', '4': 'Apply independent learning and reasoning in the computing discipline; this includes an awareness of current research issues. This is done through reading of textbooks, papers and and electronic resources.', '5': 'Work in both independent and collaborative ways with others; relate professional and disciplinary information and ideas to diverse audiences in effective and appropriate ways; but at the same time be responsible for individual work and aware of plagiarism issues.', '6': 'Apply in-depth knowledge and competencies in advanced areas of the computing discipline.'}",Requirements
CSEC-MAJ,Cyber Security,CSEC,2023,"Computer Science, Information Technology, Security Studies, Computer Systems",Undergraduate,AsPr Alwen Tiu,,"
Total units
            48 Units
        ","The Cyber Security major provides principles, theories and practical skills required to analyse and manage current cyber security situations. Students will learn how to reverse-engineer a given system and to identify and test vulnerabilities. The addressed systems cover the complete range of architectures from individual controllers to the internet.","{'1': 'Understand the principles, practice and issues associated with the field of cyber security', '2': 'Apply a range of modelling, management, analytics and visualisation techniques to handle relevant defensive as well as offensive cyber security operations', '3': 'Reverse-engineer systems based on minimal outside information', '4': 'Communicate and present their knowledge of cyber security to diverse audiences'}",Requirements
DEMO-MAJ,Demography,DEMO,2023,"International Relations, Population Studies, Sociology, Demography",Undergraduate,Dr Michael Roettger,,"
Total units
            48 Units
        ","Demography analyses the underlying structure of populations and how they change throughout time and space. It is fundamental to our understanding of the political, social, and economic transformations happening in society today and what the future might hold. Demographers study populations from around the world, and evaluate how population dynamics are linked to key societal concerns, including migration and conflict, climate change and sustainable development, fertility and changing dimensions of the family, and how health and living longer impact on individuals and societies. ANU is the leading research university in demography in Australia. Students develop a demographic perspective and toolkit, a fundamental way of understanding and evaluating how populations are linked and change throughout time and space and how they interact with different dimensions of society and the wider environment. A demography degree provides students with an analytical skillset and understanding that is in demand and highly valued by a variety of careers, including policy and market research, health and social issue professions, government departments, and international agencies.","{'1': 'demonstrate an understanding of demographic changes in the world and their major determinants;', '2': 'draw on demographic methods and population theories to explain past, present and future population characteristics;', '3': 'apply demographic concepts and theories to understand contemporary socio-economic issues and current affairs;', '4': 'examine policy issues based on demographic concepts and theories; and', '5': 'construct an evidence-based argument on population issues using a demographic perspective.'}",Requirements
DEST-MAJ,Development Studies,DEST,2023,Development Studies,Undergraduate,AsPr Sverre Molland,,"
Total units
            48 Units
        ","Development Studies refers to a broad range of courses that address the planning, implementation and consequences of social, political and economic change. Development as an aspect of state policy, and specifically as an integral part of relations between states of the industrialised 'West' and 'developing countries', gained prominence after the Second World War with the establishment of the IMF/World Bank and other development banks and aid agencies, such as USAID and the Australian Development Assistance Bureau. Since then agencies and government officials, practitioners and intellectuals have debated the rights and wrongs of development and the merits of particular approaches to development. These have crystallised in various 'theories' or approaches to development, ranging from modernisation, dependency and world system theories (from the 60s and 70s), approaches that emphasize empowerment and popular participation through the 90s and 2000s, as well as critical analysis that either questions the very premise of development, or research that insists on the importance of examining the constellations of social and institutional actors who (re)produce, moblise, and contest development aid. Development Studies examines the impact of globalisation on peoples in a range of geographical contexts, and reviews notions of economic viability, democracy, governance, human rights or environmental sustainability as they apply to such culturally divergent entities. Development studies is suitable for students who either wishes to pursue careers in development aid or who are intellectually curious in processes of social, political, cultural and economic change.","{'1': 'understand the different perspectives and theories of development and change in the modern era;', '2': 'apply these perspectives and theories to the practical issues of delivering development programs;', '3': 'analyse the competing interests, motivations and discourse of key stakeholders and interest groups; and', '4': 'devise and conduct research and write critically about these issues.'}",Requirements
,,,,,,,,,,{'0': 'nil'},
DIHU-MAJ,Digital Humanities,DIHU,2023,Digital Humanities,Undergraduate,Dr Terhi Nurmikko-Fuller,,"
Total units
            48 Units
        ","Digital Humanities is an interdisciplinary field of study located at the intersection of humanities scholarship and computational technologies. Its key purpose is to investigate how digital methodologies can be used to enhance and transform research in the Arts and Social Sciences. It also employs traditional humanistic skills to analyse modern digital artefacts and to scrutinise contemporary digital culture.   This major will help students develop a broad understanding of the historical, cultural, and social aspects of current digital humanities research. It thus addresses the growing demand for graduates well-versed in a combination of humanistic and digital skills and able to work in a variety of professional environments, from cultural and memory institutions, to the emerging job markets of information management and online content delivery.","{'1': 'apply theoretical frameworks  and research techniques critically in order to understand the key issues  raised by the digital humanities, and by the use of information technologies  in the arts and social sciences more generally;', '2': ""identify and analyse relevant sources of online information and assess their importance and reliability within the context of the student's disciplinary background;"", '3': 'evaluate ideas and  projects to assess the impact of digital technologies on humanities research  and make connections between different disciplinary approaches and methods;', '4': 'communicate and debate  effectively with others, both orally and in writing, using a variety of media  and communication platforms; and', '5': 'understand the ethical  implications of ideas, actions, and communications undertaken online.'}",Requirements
DTSC-MAJ,Data Science,DTSC,2023,,Undergraduate,,,"
Total units
            48 Units
        ","The data science major teaches the principles, theories and skills used in developing methods to collect, manage, analyse, and interpret data in various formats and at a large scale. Students will learn to use a broad range of techniques to extract knowledge and insights from large and complex data, including structured and unstructured data. The program will involve courses in areas such as database systems, data mining, document analysis, artificial intelligence and machine learning.  Learning OutcomesUpon successful completion, students will have the knowledge and skills to:
Understand the principles, practice and issues associated with the field of data science
Apply a range of data modelling, management, analytics and visualisation techniques to extract value structured and unstructured data
Understand system infrastructures that support the acquisition, storage and retrieval of data
Communicate and present their knowledge of data analytics to diverse audiences",{'0': 'nil'},Requirements
EART-MAJ,Earth Science,EART,2023,"Earth and Marine Sciences, Chemistry, Physics, Biology",Undergraduate,Prof Michael Ellwood,,"
Total units
            48 Units
        ","Understanding how our planet works has been a human ambition for many centuries. Earth Science deals with complex systems and brings together aspects of chemistry, physics, mathematics and biology to understand the processes that shape our planet. Earth Science is central to many pressing issues of our time such as the supply of resources including energy and water, climate change and natural hazards.The major in Earth Science will examine the origin of Earth from its beginning as one of several planets orbiting the sun to the evolution through time of rocks, the oceans and the atmosphere and how this made life on Earth possible. In the past 50 years, we have come to appreciate the global mobility of plates encapsulated in the paradigm of plate tectonics. Interactions between plates generate earthquakes, mountain belts and volcanos. In addition to understanding the fundamental mechanisms driving these global forces, Earth Scientists are engaged in understanding the origins of global resources. An increasingly important aspect of Earth Science is the understanding of past and present climate systems through integrated studies of the interactions between the lithosphere, oceans, atmosphere and biosphere.Studying the Earth involves testing hypotheses and many opportunities arise in the major for field studies. A major in Earth Sciences opens up possibilities for work in the mining and minerals industries, government agencies and science education. It serves as a pathway to higher degree research at Australian or overseas universities.","{'1': 'Gather and interpret data from a wide range of Earth Science disciplines, using a variety of techniques.', '2': 'Develop theoretical and practical skills required for Earth Sciences.', '3': 'Have an understanding of the history of and debates within the discipline of Geology and how they have influenced modern Earth Science.', '4': 'Apply an understanding of time (evolution of continents, oceans and life over billions of years) and space (nano to planetary scales) to a variety of contexts.', '5': 'Perform process-oriented, multidisciplinary studies to critically evaluate models and test hypotheses on how our planet works.', '6': 'Write scientific reports, and communicate effectively with university staff, peer students and the wider community on Earth Science topics.', '7': 'Conduct themselves in a way that reflects professional expectations within the discipline.'}",Requirements
ECST-MAJ,Economic Studies,ECST,2023,Economics,Undergraduate,Dr Dana Hanna,,"
Total units
            48 Units
        ","The major in Economic Studies introduces students to the core concepts and techniques used in economic analysis with applications to a wide variety of issues including: economic development, public policy, macroeconomic forecasting, the design of financial contracts and industrial strategy. It is an exciting and broad-ranging major which offers insight into the ways that individuals make decisions and interact, the ways that businesses are structured and compete, and the role of government in economic activity.The aim of the major in Economic Studies is to develop the knowledge and skills of students to enable them to embark upon a professional career in areas such as economics, financial markets, government policy, investment banking, consulting and business administration.","{'1': 'Demonstrate an understanding of the roles played by consumers, producers and government institutions as the major components of a modern economy.', '2': 'Demonstrate an understanding of the basic principles and theory used in designing economic solutions to real world problems.', '3': 'Apply economic models of how individuals make decisions and interact, the ways that businesses are structured and compete, and the role of government in economic activity in order to it improve economic, social and business outcomes.', '4': 'Apply economic ideas to problems in other fields such as politics, science and engineering.', '5': 'Synthesise and communicate economic ideas in modes appropriate to a variety of audiences.', '6': 'Demonstrate the ability to work both independently and collaboratively with others.'}",Requirements
EEOB-MAJ,"Evolution, Ecology and Organismal Biology",EEOB,2023,"Evolution and Ecology, Biology",Undergraduate,AsPr Maja Adamska,,"
Total units
            48 Units
        ","This major explores the origins, interactions and future prospects for plant and animal life. It embraces:evolution of species diversitystructural consequences of functional adaptationwithin- and between-species interactionssurvival and reproductive strategiesspecies/environment interactions, and the impact of climate change Designated courses provide a theoretical and practical grounding in genetics, evolution, ecology and physiology. With a thorough understanding of the basic principles in each field, and hands-on experience of experimental design and techniques used to develop and test hypotheses, students will be well placed to pursue a career in research and field-based studies in plant and animal sciences, or to make a professional contribution to the development of policy in the areas of conservation, environment, agriculture and fisheries.","{'1': 'Explain the evolutionary processes and the major evolutionary innovations that have led to the diversity of extant plant and animal life.', '2': 'Demonstrate and apply knowledge of the structures and processes involved in the functioning of plants and animals.', '3': 'Describe the nature of interactions between and among plants and animals, and describe the important processes governing the dynamics of plant and animal communities.', '4': 'Explain how biology is an evidence-based discipline involving observation, experimentation and hypothesis testing and how it relates to other scientific disciplines.', '5': 'Develop and implement experimental strategies to investigate different biological and experimental systems and analyse and present results of these investigations.', '6': 'Critically assess biological information and apply it to theoretical, experimental and professional contexts.', '7': 'Employ their collaborative and independent educational experiences of laboratory, project and course work in other contexts.', '8': 'Clearly communicate biological processes and principles to both science literate and non-science literate audiences.', '9': 'Recognise how biology contributes to resolving ethical, social and environmental issues and the expectations this places on their professional practice.'}",Requirements
EHIS-MAJ,European History,EHIS,2023,History,Undergraduate,,,"
Total units
            48 Units
        ","Europe is a continent steeped in history and Europe's past continues to shape its present.  Students enrolling in the Major in European History will have the opportunity to study modern and contemporary history with an emphasis on Europe’s intellectual and material impact on the wider world.  This major gives students an opportunity to understand events, individuals and processes which have shaped contemporary Europe and much of the modern world.","{'1': 'recognise and reflect\n     on the political, social, economic, and cultural factors that have shaped\n     Europe over the past millennium.', '2': ""evaluate competing\n     accounts of European historical development and changing representations\n     of Europe's past."", '3': 'analyse primary\n     historical evidence from a wide range of sources and in a variety of media\n     and forms.', '4': 'interpret the past\n     using a variety of theoretical and thematic approaches. '}",Requirements
ELCO-MAJ,Electronic and Communication Systems,ELCO,2023,"Mathematics, Engineering, Electronics, Communications, Intelligent Systems",Undergraduate,AsPr Nan Yang,,"
Total units
            48 Units
        ","Electronic engineering is the fundamental discipline underpinning the design of modern technologies such as mobile phones and broadband wireless systems that are essential to everyday life and our future wellbeing. Electronic engineers not only design and build the electronic systems but also the communications and signal processing technologies and algorithms that are at the heart of the digital world. This major has a particular emphasis on providing training and diversity of experiences in both hardware and theoretical aspects of modern electronic and communication systems. In particular, graduates are exposed to hands on practical work and critical thinking in the discipline to equip them with the knowledge and skills to enable them to be adaptable across rapidly changing industries and environments.","{'1': 'apply systematic engineering design processes, including those aided by computer modelling and simulation, to analyse and design electronic, communication and signal processing systems and subsystems.', '2': 'evaluate solutions to engineering problems in electronic and communication systems, by selecting and applying theoretical principles and methods from mathematics, sciences, computing, electronics, communications, and signal processing.', '3': 'demonstrate proficiency with advanced knowledge and tools in electronic and communication systems, including analogue, digital and power electronics, microprocessors, power systems, digital signal processing, computer networks, and digital and wireless communications.', '4': 'identify and compare current developments and emerging trends in contemporary and prospective electronic and communication systems, such as cellular networks, embedded systems, and audio and acoustic systems.', '5': ""use disciplinary knowledge and effective communication skills to critically appraise self and others' engineering designs and solutions."", '6': 'undertake critical reflection and independent research in electronic and communication systems.', '7': 'work effectively and proactively within cross-cultural, multi-disciplinary teams, demonstrating autonomy, ethical conduct, well developed judgement, adaptability and responsibility to achieve engineering outcomes at a high standard.  '}",Requirements
ENGL-MAJ,English,ENGL,2023,English,Undergraduate,Prof Rosalind Smith,,"
Total units
            48 Units
        ","The English major at the ANU offers a wide range of courses reflecting the diversity of the discipline of literary studies in English. There are courses in all the main fields of post-medieval British literary studies from the late sixteenth century to the present day, including the Early Modern, Restoration and Eighteenth-Century, Romantic and Victorian, Modern and Contemporary periods. There are courses in Australian, US, postcolonial and transnational literatures in English; in literary and cultural theory; in drama, film, new media, and creative writing. English 1000 level-courses introduce students to major genres and modes of writing and to literary-critical practice. English 2000/3000 level courses enable students to broaden and develop their knowledge and enjoyment of literature in a variety of important specialist fields.","{'1': 'analyse texts by diverse authors and in different genres in several\n important fields of literary studies in English;', '2': 'evaluate the historical and cultural contexts in which literature in\n English has been written and shaped;', '3': 'analyse literary texts in relation to these contexts;', '4': 'interpret, evaluate and make an argument about texts using appropriate\n written expression; and', '5': 'undertake further study within the discipline.'}",Requirements
ENGS-MAJ,Engineering Science,ENGS,2023,"Mathematics, Physics, Engineering, Sustainability, Sustainable Engineering",Undergraduate,Dr Klaus Weber,,"
Total units
            48 Units
        ",Update CMS roll-out,{'1': 'Update CMS roll-out'},Requirements
ENST-MAJ,Environmental Studies,ENST,2023,"Environmental Studies, Policy Studies, Sociology",Undergraduate,AsPr Gavin Smith,,"
Total units
            48 Units
        ","The environment is a major discourse and force in society. It is an entity that is simultaneously responsive to and independent of social action, and that transcends human cultures and sovereign borders. It is a point of continuity and shared structure for all living things, and all forms of life are dependent on its vital energies and natural assets. And yet, human and non-human social agents are located in, experience and respond to different environments. Its changing form and localised manifestations make the environment an essential topic of social scientific study, especially in an age of climate transformation. The major in Environmental Social Science exposes students to the complex and dynamic relationships between social and environmental systems, processes and change. Students undertaking the major will be taught about environmental matters from a diverse range of disciplines and perspectives, such as sociology, biological anthropology, history, development studies, indigenous studies, policy studies, geography, human ecology, and sustainability science. A focal point for analysis is the interactivity between humans and the non-human environment in various contexts, as well as the impacts and implications of global and everyday events on environmental processes, and vice versa. Students will be provided with the inter-disciplinary knowledge and research skills necessary to engage with the wicked environmental issues confronting societies of today and of the future, and with the opportunity to translate these attributes into various outputs and interventions.","{'1': 'understand the dynamic relationships between social and environmental systems, processes and change;', '2': 'critically assess the impact and implications of social practices on the natural environment, and the effect of the natural environment on social practices, especially as these relate to commercial processes of natural resource production and consumption, governance and social inequalities more broadly;', '3': 'apply interdisciplinary approaches to address complex environmental challenges in a variety of contexts (e.g. climate change mitigation and adaptation, sustainability in economic development, rurality and regional planning, land care, public participation, wildlife conservation and cultural heritage);', '4': 'gather and analyse relevant social scientific and ecological data, as well as non-western perspectives, for creating adaptive and holistic responses to environmental issues; and', '5': 'apply a range of conceptual frameworks and methodological approaches in conducting environmental research and formulating environmental policy strategies.'}",Requirements
ENVS-MAJ,Environmental Science,ENVS,2023,"Forestry, Geography, Climate, Environmental Science , Biodiversity Conservation",Undergraduate,Dr Craig Strong,,"
Total units
            48 Units
        ","The long term survival of humanity relies on sustainable management of our natural environment, including its landscapes; and sustainable management is dependent upon our having a strong scientific understanding of the fundamental processes that interact to shape the complex environmental system.The major in Environmental Science develops that understanding by providing an integration of scientific knowledge and practice in environmental and landscape sciences. It focuses on how key areas of environmental science relate to and are underpinned by landscape processes. Only by understanding these key landscape processes can successful environmental outcomes be achieved. The major includes a focus on current understandings of the science of the environment, and a range of response strategies for their sustainable management. Students develop their ability to evaluate recent and current advances in environmental science, and in policy and management approaches; and to integrate a range of discipline-based knowledge relevant to specific regions or issues in sustainable environmental and landscape management.","{'1': 'Think critically about environmental science issues, integrate information, and construct logical, consistent and synthesised arguments.', '2': 'Explain the scientific underpinning and environmental implications of critical issues in ecological and landscape processes, across a range of likely scenarios.', '3': 'Engage with a range of stakeholders, including environmental scientists, land managers, government extension officers and private consultants, on a range of environmental and landscape issues.', '4': 'Analyse and interpret complex processes and apply solutions across a range of environments and landscapes.'}",Requirements
ESYS-MAJ,Environmental Systems,ESYS,2023,"Environmental Studies, Engineering, Sustainable Engineering",Undergraduate,AsPr Lachlan Blackhall,,"
Total units
            48 Units
        ","The environment around us is rapidly changing. The effects of climate change, pollution and the pace of human development are becoming clear, and extreme weather events are becoming common place. The Environmental Systems Major will encompass the study of environmental systems and processes and how they impact and are impacted by engineered systems. Building upon foundational physical sciences including Chemistry, Biology and Ecology, students will investigate the relationships between environmental processes and ecosystems in the soil, water, air, and biosphere. From this foundational understanding, students will explore topics as diverse as water systems, environmental monitoring and modelling and environmental perspectives on the design of infrastructures systems. Students will not only acquire a deep technical understanding of this field but will be encouraged to explore the important social, regulatory, and ethical considerations that arise when engineering systems that impact, and are impacted by, the environment. Students will be able to draw on course materials that provide diverse gender, cultural, and geographical perspectives on these topics, and courses will provide an important focus on indigenous perspectives and contributions to this field of study.","{'1': 'Apply systematic design-oriented engineering principles, including those aided by mathematical modelling and computer simulation, to analyse and design environmental systems, including interacting chemical, ecological, water, and infrastructure systems.', '2': 'Evaluate solutions to engineering problems in environmental systems, by selecting and applying theoretical principles and methods from environmental science and engineering disciplines that describe the relationship between fundamental physical sciences and the behaviour of environmental systems and processes.', '3': 'Demonstrate proficiency with advanced knowledge and tools in environmental systems, including how water systems and water bodies interact with environmental systems and processes, how to compare and contrast methods for measuring, monitoring and modelling environmental systems and processes, and how to assess and manage environmental impacts.', '4': 'Identify and compare current developments and emerging trends in contemporary and prospective environmental systems, such as the social, ethical, legal and economic considerations when designing and building engineering systems that impact and are impacted by environmental systems and processes.', '5': ""Use disciplinary knowledge and effective communication skills to critically appraise self and others' engineering designs and solutions."", '6': 'Undertake critical reflection and independent research in environmental systems.', '7': 'Work effectively within teams, demonstrating autonomy, ethical conduct, well developed judgement, adaptability and responsibility to achieve engineering outcomes at a high standard.'}",Requirements
EURO-MAJ,Contemporary Europe,EURO,2023,Contemporary Europe,Undergraduate,Professor Patrick Dumont,,"
Total units
            48 Units
        ","After centuries of conflict, Europe has recently regained a unity not seen since the Roman Empire with the European Union being the most advanced form of supranational government on the planet. Although Europe no longer dominates the globe through its extensive empires, Europe’s global impact lives on in philosophical ideas, literary traditions and practices of government.The Contemporary Europe major will allow you to integrate diverse interests under one field of enquiry. Studying Contemporary Europe is a perfect way to combine international relations, politics, history, sociology, philosophy, literature and cultural studies, as well as being an ideal accompaniment to those learning European languages.","{'1': 'analyse Europe as a cultural, geographical and political concept;', '2': ""assess the political, social, economic and cultural legacies of Europe's past;"", '3': 'explain the main challenges facing Europe and the EU at the beginning of the twenty-first century and into the future;', '4': 'recognise and reflect on the relationships between European cultures, art and traditions, and the social and political history and institutions of contemporary Europe; and', '5': 'evaluate recent developments in European cooperation and unity and contrast these to continuing cultural and political tensions.'}",Requirements
FDAR-MAJ,Furniture Design Arts,FDAR,2023,,Undergraduate,,,"
Total units
            48 Units
        ","This major is only available to students undertaking the Bachelor of Design Arts degree program.The Furniture Design Major equips students with skills required for a career as a designer maker. The Major provides a strong focus on developing skills and knowledge relating to the materials and processes of the discipline, in relation to the historical and contemporary contexts of the area. Design Arts students will be introduced to current manufacturing options and will learn how technology can assist in the conceptualisation, visualisation, making and promotion processes. Students will respond to design based projects, investigate a wide range of materials and have the opportunity to manufacture multiples and interact with industry. The major is enriched by a program of visiting artists, allowing students to establish contact with leading professional designer/makers and visit design-related events. Learning outcomesAt the completion of this Major, students should be able to:demonstrate sound knowledge of the technologies and techniques, processes, terminology, forms and materials of furniture making.develop and evaluate design concepts and processes by thinking creatively, critically and reflectively.respond to the demands of a project, either independently or collaboratively, by applying skills and knowledge to the design, visualisation and making of creative works.interpret, communicate and present ideas, problems and arguments in modes suited to a range of audiences.recognise and reflect on social, ethical, cultural, technological, and environmental issues of creative practice and design considering local and international perspectives.  identify and apply occupational health and safety principles within a workshop environment.","{'1': 'demonstrate sound knowledge of the technologies and techniques, processes, terminology, forms and materials of furniture making.', '2': 'develop and evaluate design concepts and processes by thinking creatively, critically and reflectively.', '3': 'respond\n to the demands of a project, either independently or collaboratively, \nby applying skills and knowledge to the design, visualisation and making\n of creative works.', '4': 'interpret, communicate and present ideas, problems and arguments in modes suited to a range of audiences.', '5': 'recognise\n and reflect on social, ethical, cultural, technological, and \nenvironmental issues of creative practice and design considering local \nand international perspectives.\xa0 ', '6': 'identify and apply occupational health and safety principles within a workshop environment. '}",Requirements
FINM-MAJ,Finance,FINM,2023,"Commerce, Finance",Undergraduate,,,"
Total units
            48 Units
        ","The major in Finance introduces students to the basic concepts underpinning finance, applying them to the study of financial instruments and markets; the financial decisions facing the firm; investment decisions and portfolio management; derivatives and risk management.  In addition, depending upon the electives chosen students will study portfolio construction; corporate valuation; and debt markets.  The aim of the major in Finance is to develop skills and competencies in students that will enable them to embark upon a professional career in the fields of financial management, financial consulting and planning, funds management, investment banking and stockbroking.",{'0': 'nil'},Requirements
FREN-MAJ,French Language and Culture,FREN,2023,"Cultural Studies, European Languages, Language Studies",Undergraduate,Dr Gemma King,,"
Total units
            48 Units
        ","The French Language and Culture major aims at developing students' ability to understand, pronounce and speak standard French and to read and write French as it appears in newspapers, magazines, media, cinema and literature. All courses emphasise the importance of culture, history, politics and society, and draw on a variety of material from written, audio-visual and electronic sources. Students gain fluency in French and at the same time develop their knowledge of the French-speaking world, in both European and global contexts (e.g. Africa, Asia, North America and the Pacific). Students' entry level depends on their prior knowledge of French, and the exact sequence of courses leading to the major depends in turn on the point of entry.","{'1': 'communicate proficiently and confidently in French;', '2': 'identify the structure and uses of French;', '3': 'demonstrate an understanding of the societies and cultures of France and the Francophone world, and their socio-historical contexts;', '4': 'construct a schema of the connections between France and its geographical, social and cultural origins; and', '5': 'recognise the importance of intercultural communication.'}",Requirements
GDAR-MAJ,Glass Design Arts,GDAR,2023,,Undergraduate,,,"
Total units
            48 Units
        ","This major is only available to students undertaking the Bachelor of Design Arts degree program.The Glass Design Major equips students with skills required for a career as a designer maker. The Major provides a strong focus on developing skills and knowledge relating to the materials and processes of the discipline, in relation to the historical and contemporary contexts of the area. Design Arts students will be introduced to current manufacturing options and will learn how technology can assist in the conceptualisation, visualisation, making and promotion processes. Students will respond to design based projects, investigate a wide range of materials and have the opportunity to manufacture multiples and interact with industry. The major is enriched by a program of visiting artists, allowing students to establish contact with leading professional designer/makers and visit design-related events. Learning outcomesAt the completion of this Major, students should be able to:demonstrate sound knowledge of the technologies and techniques, processes, terminology, forms and materials of glass practice.develop and evaluate design concepts and processes by thinking creatively, critically and reflectively.respond to the demands of a project, either independently or collaboratively, by applying skills and knowledge to the design, visualisation and making of creative works.interpret, communicate and present ideas, problems and arguments in modes suited to a range of audiences.recognise and reflect on social, ethical, cultural, technological, and environmental issues of creative practice and design considering local and international perspectives.  identify and apply occupational health and safety principles within a workshop environment.","{'1': 'demonstrate sound knowledge of the technologies and techniques, processes, terminology, forms and materials of glass practice.', '2': 'develop and evaluate design concepts and processes by thinking creatively, critically and reflectively.', '3': 'respond\n to the demands of a project, either independently or collaboratively, \nby applying skills and knowledge to the design, visualisation and making\n of creative works.', '4': 'interpret, communicate and present ideas, problems and arguments in modes suited to a range of audiences.', '5': 'recognise\n and reflect on social, ethical, cultural, technological, and \nenvironmental issues of creative practice and design considering local \nand international perspectives.\xa0 ', '6': 'identify and apply occupational health and safety principles within a workshop environment. '}",Requirements
GEND-MAJ,"Gender, Sexuality and Culture",GEND,2023,Gender Studies,Undergraduate,AsPr Melinda Cooper,,"
Total units
            48 Units
        ","Gender, Sexuality and Culture teaches students the interdisciplinary knowledge and skills required to analyse gender, sexuality and other categories of difference from a critical perspective.  It trains students in the use of a conceptual vocabulary that facilitates critical thinking about gender relations and the role of culture in maintaining social norms. It challenges students to move beyond common sense understandings of gender and sexuality by examining the way they are constructed in different historical periods, cultural arenas and global processes.Gender, Sexuality and Culture major aims to develop students' capacity for thinking and communicating creatively and independently about society, identity and culture. It encourages a reflexive and questioning approach to knowledge. It draws on the disciplines of Gender Studies and Cultural Studies, and theoretical and methodological frameworks such as feminist theory, queer theory, postcolonial theory and post-structuralism.","{'1': 'analyse, evaluate and apply contemporary theories of gender, sexuality, culture;', '2': 'use the conceptual vocabulary of gender and cultural studies to analyse contemporary issues and problems;', '3': 'use the methods of gender and cultural studies to analyse the way gender and sexuality are produced in culture, including written and visual texts;', '4': 'identify and understand interdisciplinary approaches to gender, sexuality and culture;', '5': 'communicate complex ideas in speech and writing; and', '6': ' reflect critically on the knowledge and skills developed in their study of Gender, Sexuality and Culture.'}",Requirements
GEOG-MAJ,Geography,GEOG,2023,"Geography, Interdisciplinary Studies - Sustainability, Development Studies, Environmental Studies",Undergraduate,Dr Bruce Doran,,"
Total units
            48 Units
        ","Geography is a dynamic discipline that is increasingly recognised as an integral part of developing holistic approaches to contemporary problems in society and environment. The advent of products such as Google Earth (TM) and the rapid uptake of spatial technology in many facets of day-to-day life has also put geography on the public agenda. In essence, geographers study Earth's diversity, its resources, and humankind's survival on the planet. This involves analysing the associations of things and events that give special character to particular places; the interconnections between different areas; and the working of complex systems through time. Geography is the only academic discipline in which an integrative perspective focusing on spatial relationships and processes is a fundamental concern. Geography takes an integrative approach to environmental problems and their solutions, including the study of economic, cultural and social goals and processes that determine strategies for resource use and ecosystem management.Students undertaking the major in geography are provided with a rich learning environment characterised by an exciting mix of theoretical and practical training in an applied setting. The course options in the major expose students to a diverse range of skills that are much in demand, including experiential and field-based learning, GIS and spatial technology, the principles of modeling, integrated research training, and small-group learning that draws upon the diversity of student and staff professional and cultural backgrounds. The major in geography will equip students with a thorough yet broad-based grounding in the discipline, the background to pursuing a professional career related to geography.","{'1': 'Evaluate current geographic approaches to investigating a range of environment and sustainability issues and management strategies in international and Australian contexts.', '2': 'Integrate knowledge relevant to geographical science and policy across disciplines.', '3': 'Apply a range of written, oral and visual communication skills to effectively convey and discuss information about geographical science and policy in multidisciplinary contexts, and', '4': 'Engage with current environment and sustainability policy debates, recognising the socio-political and cultural contexts in which they occur.'}",Requirements
GERM-MAJ,German Language and Culture,GERM,2023,European Languages,Undergraduate,AsPr Katie Sutton,,"
Total units
            48 Units
        ","The German Language & Culture Major is aimed at students developing a high level of competence in the German language as well as a critical understanding of a diversity of German-speaking cultures. Students can choose from courses in German language, literature, society and cultural studies, including film and gender studies. Students are encouraged to study abroad and take advantage of exchange agreements with partner universities in Germany and Austria.German is the most commonly spoken first language in the European Union. With a rich literary and philosophical heritage, German is a language of culture, science, technology, trade and international relations. This role has increased since Germany's reunification with Germany playing a leading role in European politics. Its capital Berlin boasts a dynamic art scene and has become a centre of global youth culture and the arts.","{'1': 'express viewpoints and develop arguments confidently in German, incorporating some complex sentence structures. Students can expect to achieve approximately the B2 level or higher of the CEFR (Common European Framework of Reference for Languages);', '2': 'use the language for academic purposes, e.g. essay writing with referencing, class presentations, and research related to the German language and associated cultures;', '3': 'read, understand, and analyse German literary texts, films, and a range of print, visual and digital media in the context of German-speaking cultures;', '4': 'demonstrate an understanding of the modern history of the German-speaking countries; and', '5': '\n  demonstrate intercultural awareness.'}",Requirements
