id,abstract,title,authors,
20684,"Australia faces complex global challenges that demand a resilient and integrated defence force capability. As these challenges continue to evolve and become more intricate by the day, it is imperative to simplify the processes involved in acquiring new capabilities. Additionally, it is vital to maintain the efficiency of the defence industry to strike a balance between capability acquisition and long-term sustainability. Moreover, modern systems are increasingly complex due to technological advancements, integration, and dynamic environments, posing challenges in understanding behaviour, predicting outcomes, and managing risks. 
Mission engineering (ME) provides a systematic approach to optimise system design, development, and operation, integrating technical, operational, and organisational aspects. Therefore, ME is crucial in accelerating capability development, extending its influence beyond defence to various sectors like health and manufacturing. It fosters innovation and efficiency in vital sectors, enhancing national resilience and competitiveness. Professionalising ME is vital for navigating these complexities, ensuring practitioners possess the skills and expertise to achieve desired outcomes effectively. Equipped with the skills to analyse evolving risks and develop innovative solutions, mission engineers ensure responsiveness to dynamic landscapes.  
UNSW Canberra introduced a stackable micro-credentials model in ME, comprising fundamental, intermediate, and advanced phases, which is a significant step towards professionalising the field in Australia. Co-designed with industry, this model not only demonstrates the gradual imparting of ME competency framework but also showcases the adaptability of ME competencies beyond defence, underscoring its relevance and importance. 
This presentation highlights UNSW Canberra's innovative strategy for addressing Australia's need for professionalised ME. Moreover, we demonstrate the model’s adaptability to different sectors' landscapes by tracing the evolution of ME concepts and competency frameworks across industry boundaries. Through this initiative, practitioners acquire the competence to navigate missions across various industries, signalling a new era of ME versatility with far-reaching implications in line with Australia’s needs. ",Professionalising Mission Engineering in Australia:  A Pilot Micro-Credentials Model,"Kumudu Amarawardhana 1, Sondoss El Sawah 1, Ugur Turhan 1, Capability Systems Centre (CSC), UNSW Canberra, Campbell, ACT, Australia",
20696,"In Australia there is no dedicated flight test range or facility available for civil UAS test and development. UAS operations are expanding and continue to demand focus from the regulators to safely blend UAS and manned aircraft activity. Currently every activity requires an application to CASA for approval to conduct the planned activity and each of these can take a protracted time which can delay the development cycle. As UAS become more present in the skies, there is the need to assess, test and evaluate larger and larger platforms safely. Whilst it may be possible to test small UAS of modest speed close to larger city centres, the testing of platforms over 150kg and that operate at higher speed or higher altitudes, need access to areas of ground and airspace where the risk can be managed.
This study provides a methodology that can be used to select an area to set up a flight test range. The methodology will be presented and then the process applied to the QFTR in Cloncurry as an exemplar but provides the final step - suggested pathways for range access. QinetiQ have developed this process and continue to work with CASA on this and other strategies to promote safe test of UAS platforms in Australia.",UAS Test Ranges - Design concept for flight test ranges & access pathways,"Mark Roots 1, QinetiQ, Brisbane, QLD, Australia",
20697,"Model-Based Systems Engineering (MBSE) offers a holistic approach to understanding complex system architectures, enabling early detection to design flaws and integration of multidisciplinary perspectives. By directly incorporating safety considerations and optimising system performance through the use of model-based- system safety (MBSS) processes, we can ensure safer, more efficient and reliable autonomous systems.
This study aims to identify challenges and opportunities in assuring the safety and cybersecurity of autonomous systems, proposing Model-Based Systems Safety (MBSS) as a promising framework to address these complexities effectively.
Through a comprehensive review of current safety processes, this paper identifies gaps exacerbated by disruptive technologies. Building upon model-based engineering principles, a framework for MBSS is formulated to systematically assess and mitigate safety risks in autonomous systems, emphasizing the seamless integration of MBSE and MBSS throughout the system lifecycle.
The adoption of MBSS offers a structured approach to enhance safety and cybersecurity assurance in autonomous technologies. This paper provides both theoretical insights and practical implications for industry stakeholders, policymakers, and researchers, highlighting the potential of MBSS to foster trust and reliability amidst technological disruption.
In conclusion, this paper underscores the pressing need for innovative strategies to navigate the intersection of disruptive technologies, system safety, and cybersecurity. By embracing MBSS, stakeholders can effectively manage risks associated with autonomous systems, ensuring resilience, and maximizing the transformative potential of emerging technologies. ",The Role of Model-Based Systems Safety in Ensuring Safe Implementation of Autonomous Technologies,"Faizan Mr Muhammad Ramzan 1, Julia Ms Gibney 1, Nova Systems, Nollamara, WA, Australia",
20707,"Models are central to understanding systems and to the engineering of systems. Systems engineers employ various types of models to communicate shared understanding, through system life-cycle models that enable the transformation of functional models to physical models, that are then realized as tangible systems of benefit to society. The recognition of the central nature of models to the engineering of systems resulted in the forming of Model Based Systems Engineering (MBSE) wherein the essence of the system of interest is contained within a system model in contrast to traditional documents. However, the evolution of model-types employed, both to understand and to engineer systems, appears to largely have been a pragmatic activity driven by the needs of the numerous individual engineering and management subdisciplines. This paper briefly examines extant taxonomy of systems models used in the engineering of systems and in understanding operational systems and considers the question of whether there is a suitable system “meta-model” that naturally “contains” all types of systems models used therein. It explores this question through a systems-thinking lens, in conjunction with concepts on mental models from biology and philosophy.  This analysis gives rise to framework for systems models and to the proposition that all (systems) models take on one of two forms: as reference models that aid in the engineering of systems or as representative models that aid in understanding operational systems.   The paper concludes that it is possible to propose an emergent “model of systems models” that combines these two classes in an evolutionary way.  This construct is offered for consideration and refinement by the systems community. ",One Model to Rule them all (?),"Jawahar Bhalla 1, Shoal Group / University of Adelaide, Harrington Park, NSW, Australia",
20708,"There is growing discussion on energy sources, with political and technological motivation for cleaner, renewable energy catalysing a transition from traditional sources such as coal and gas to solar and wind, as well as options such as hydrogen, nuclear sources coming of age.  Differing passionate perspective are leading to divergent initiatives that some say are being rushed through as symptomatic quick fixes, causing disruption in the energy market in the short term at best, with the potential for societal negative outcomes in the longer term.
This panel brings together passionate professionals sharing personal and varying perspectives on this contemporary societal disruptor, fostering thought, discussion and insights to towards improving our collective understanding on the opportunities and challenges related to energy and in ideally fostering working a holistic way forward. ",Disruption in Energy – Converging Divergent Perspectives,"Jawahar Bhalla 1, Shoal Group / University of Adelaide, Harrington Park, NSW, Australia",
20712,"Overview: In the Australian infrastructure sector, Systems Engineering (SE) is often practised in siloes, by systems engineers only. It is not well engrained in the organisational processes, and not actively championed nor driven by leaders and decision-makers. This results in a fragmented adoption of SE with reduced benefits; inefficiencies and cost overruns; or worse, projects not delivering the required outcomes.
Context: There is a significant mandate and guidance for the application of SE in the infrastructure sector. Transport for NSW Asset Management Framework [1] mandates the adoption of an SE approach for complex transport infrastructure systems over their life cycles. The UK Institute of Civil Engineers extensively documented how systems thinking can improve the delivery of complex infrastructure projects [2]. The Dutch Guidelines for Systems Engineering within the Civil Engineering Sector [3] provide clear guidance for the successful implementation of SE within the sector and organisations. The UK Government recently published documents promoting systems thinking for civil servants [4].
Purpose:   SE leadership and implementation in the Australian infrastructure sector is what can be done about it?
Approach:  This presentation will analyse and identify causes and solutions through:
i) A review of recent literature, articles and industry reports (assisted by AI when appropriate);
ii) Comparing approaches of the Australian infrastructure sector with other sectors and countries; and
iii) Interviews with thought leaders across the sector.
Insights: Insights will explore the link between improved implementation of systems engineering and productivity [5, 6, 7]; leadership and organisational motivations and competencies, to understand the most significant barriers to adopting SE more effectively in the Australian infrastructure sector.",Leadership and Organisational Implementation of Systems Engineering in the Infrastructure Sector,"Ruben Welschen 1, Thomas Boxoen 2, Overmorrow Consulting Pty Ltd, Sydney, NSW, Australia, Transport for New South Wales, TfNSW, Sydney, NSW, Australia",
20723,"Overview - Digital Transformations (DT) continue to change our products, systems, services, and the way we work. Will we be ready for this future? To tackle the challenges we will present the ""A to Z"" guide for DT, including the digitalisation of SE practices.
Context - In a global context, we will be moving towards model-based approaches, knowledge sharing will be exponentially increasing, digital technologies such as AI, autonomy and digital twinning will be incorporated into the various engineering disciplines as they better evolve to adjust to a dynamic world with increasing complexity. Collaborations and interactions will be paramount, largely through the management of the digital thread, enabled through the tools and environments of the digital ecosystem. To do this, the enterprise workforce will need to be diverse, agile, efficient, possibly distributed, and more strongly recognise knowledge as an asset. This level of transformation can be confusing, difficult to identify and even harder to implement. 
Purpose - To navigate a DT, guidance is required from behaviour adoption, technology evolutions, to new/tailored practices and tools, balancing the need to change with the constraints of the enterprise. This guidance must be tailorable to apply to different system projects. 
Approach - A combination of workshops, and industry experience across multiple domains and countries with real life examples are used to illustrate this topic. Many of the guidance points will resonate with participants whether in industry, academia or government, as we all undertake a DT at some level in our enterprises.
Insights - The takeaways for participants are 1) understanding of what is involved in a DT; 2) A to Z guide on DT, that is completely tailorable, to add to an engineer's toolkit; 3) mapping examples of the guide to 30 common SE practices.",The A to Z for Implementing a Digital Transformation on a Systems Project,"Kerry Lunney 1, Stephane Bonnet 2, Thales Australia, Sydney, NSW, Australia Thales Avionics, Bordeaux, France",
20724,"Overview - With the growing interwoven dynamics of the world, speed to deployment is becoming more crucial. However, we often strive to deliver a perfect solution, sometimes warranted, sometimes not, potentially leading to cost and/or schedule overruns, and the introduction, or the appearance of poor quality systems at initial deployment. Adopting a Minimal Viable Capability (MVC) addresses this challenge, or does it? To understand the complexities for realising a successful MVC a number of interacting factors will be presented.
Context - A MVC approach supports the delivery of needed capability as soon as possible with further capabilities being incrementally incorporated. It is not however just about ""descoping a project"". MVC requires a lot of change and flexibility both in acquisition and sustainment. Development lifecycles, contracting models, operational scenarios, mission threads, agility, to name a few, all require to be modified under MVC.  These impacts are often not understood resulting in sub-optimum MVC deliveries.  
Purpose - To avoid/minimise the same problems preventing successful delivery of needed capability under a MVC, a holistic view must be taken. From this viewpoint, impacts of delivering MVC on development lifecycles, checkpoints, tailoring of practices, framework and tools, and technology evolutions must be addressed. Likewise, the importance of model-based engineering approaches increases. Underpinning these factors is being agile, particularly if speed to deployment is critical. This presentation provides the necessary guidance to deliver a MVC.
Approach - A combination of government-industry discussions, workshops, and industry experience with real life examples are used to illustrate this topic. The adaptations identified in this presentation can be readily applied to both the acquirer and supplier.
Insights - The takeaways for participants are 1) understanding the value of MVC; 2) recognising the blockers; 3) steps needed to successfully adopt a MVC approach.",Is the Journey to the End of the Rainbow a Minimal Viable Capability (MVC)?,"Kerry Lunney 1, Thales Australia, Sydney, NSW, Australia",
20732,"Research groups are challenged with ensuring that their activities are appropriately aligned to evolving strategic intent. This paper aims to address that challenge by describing a systematic approach, using Model-Based System Engineering (MBSE) techniques, to bridge the gap between strategic intent and exploratory research activities such as Modelling and Simulation, and experimental prototyping.
To demonstrate the approach, this paper presents a case study where a descriptive model was developed within CATIA Magic to:
capture the structure and activities of a research group;
link the elements of that groups research program with strategic intent; and,
trace the strategic intent to exploratory prototyping conducted by the research group.
Strategic intent was captured within a model as distinct statements (similar to a high-level capability or business requirement) and then explicitly linked to research activities, which were grouped under known research program elements. By doing so, a holistic view of the organisations research program was captured, identifying areas of research that were not necessarily aligned to the strategic intent, as well as areas of strategic intent that were not supported by research or technology development activities.
The model was then used to capture operational-level analysis and subsequent system need derivation. The intent of this was to provide a more robust trace from strategic intent through to technology development by allowing development efforts, such as producing prototype systems, to be driven by operational analysis. The results from gathered from experimentation could then be used to further refine system needs and inform future prototyping/development activities. In doing so, experimental prototyping was more aligned to operational analysis and hence strategic intent throughout the entire research program duration. ","Aligning Strategy, Research, and System Development, Leveraging Model-Based Systems Engineering Techniques","Photi Karagiannis 1, Tommie Liddy 1, Matthew Wylie 1, Shoal Group, Adelaide",
20734,"Overview
Medium and Heavy-duty (MHD) vehicles often require maintenance and diagnostics during normal operations.  Vehicle Diagnostic Adapters (VDAs) are the service tools that connect the vehicle network systems to the diagnostics and maintenance software. These diagnostic tools are intermittently, but frequently connected to the vehicle by a trusted technician, but many security models ignore technicians physically connecting to the vehicle.
Context
VDAs are made by third parties and the specification for them lacks security controls around this operation has prompted the trucking industry to develop new security protocols for diagnostics in the International Organization of Standards (ISO) 14229. In light of the potential security concerns associated with MHD vehicle diagnostics, a Threat Analysis and Risk Assessment (TARA) is presented using Risk Assessment and Analysis Modeling Language (RAAML).
Purpose
This research seeks to understand how RAAML can be utilized to follow a cybersecurity approach in a modeling environment in the context of Systems Engineering (SE) activities throughout the system lifecycle. SE responsibilities that pertain to risk identification, assessment, and management include, but are not limited to, deliverables such as Failure Modes and Effects Analysis (FMEA) and Fault Tree Analysis (FTA).
Approach
A digital representation of the MHD vehicle diagnostic and maintenance system can be designed using Model-based Systems Engineering (MBSE). The presentation will start with a model-based description of the diagnostics system of interest, then do a deep dive into the threat analysis and risk assessment using RAAML.
Insights
Capturing FMEA and FTA inputs and outputs in the model enables more complete traceability and re-usability, reducing re-work and giving more transparency for risk analysis of the system design.",Vehicle Diagnostic Security Advancement using an MBSE Approach,"Sarah Rudder 1, Enola Technologies, ST. PETERSBURG, FL, United States",
20743,"Overview: This paper looks at how systems engineering practices can be built into the Test and Evaluation (T&E) process for generative AI (GenAI) applications so as to make them work better, more reliably, and in accordance with standards. The reader will have a good understanding of techniques and best practices for testing GenAI systems.
Context: Generative AI has a lot of potential in various industries enabling automation and optimisation of multiple tasks. However, deploying GenAI in real-world, resource-constrained, and real-time critical applications poses challenges in ensuring performance, reliability, and safety. Established knowledge points to the need for strong testing frameworks that address these challenges.
Purpose: This research study is aimed at understanding how systems engineering practices could be adopted while performing T&E of GenAI systems. It seeks to review and establish effective practices and tooling that influence the reliability and functionality of GenAI application within practical settings where resources are constrained and high reliability and safety is paramount.
Approach: To this end we review well-known systems engineering methodologies vis-a-vis their relevance to T&E processes. In addition to examining case studies, industry reports, academic literature were scrutinised. There was an emphasis on modifying these methods to suit GenAI applications, while focusing on using such practices to establish rigorous testing and evaluation methodologies to ensure success in applying generative AI.
Insights: GenAI T&E processes can be significantly improved by integrating systems engineering practices into them, the investigation shows. Important findings include the significance of a thorough understanding of requirements, automated and manual testing approaches, and continuous monitoring as well as feedback mechanisms. These findings will guide the development of dependable and efficient GenAI applications that are destined to fit well with intricate real-world use cases.
 ",Enhancing GenAI: Leveraging Systems Engineering for Rigorous Test & Evaluation,"Tanya Dixit 1, Google, Haymarket, NSW, Australia",
20745,"Overview: This paper looks at how systems engineering practices can be built into the Test and Evaluation (T&E) process for generative AI (GenAI) applications to make them work better, more reliably, and per standards. The attendees will leave with a good understanding of challenges as well as best practices for testing GenAI systems.
Context: Generative AI has a lot of potential in various industries enabling automation and optimisation of multiple tasks. However, deploying GenAI in real-world, resource-constrained, and real-time critical applications poses challenges in ensuring performance, reliability, and safety. Current literature points to the need for strong testing frameworks that address these challenges.
Purpose: This research study is aimed at understanding how systems engineering practices could be adopted while performing T&E of GenAI systems. It seeks to review and establish effective practices and tooling that influence the reliability and functionality of GenAI applications within practical settings where resources are constrained and high reliability and safety are paramount.
Approach: To this end, we review well-known systems engineering methodologies vis-a-vis their relevance to T&E processes. In addition to examining case studies, industry reports and academic literature were scrutinized. There was an emphasis on modifying these methods to suit GenAI applications while focusing on using such practices to establish rigorous testing and evaluation methodologies to ensure success in applying generative AI.
Insights: GenAI T&E processes can be significantly improved by integrating systems engineering practices into them. Important findings include the significance of a thorough understanding of requirements, automated and manual testing approaches, and continuous monitoring as well as feedback mechanisms. These findings will guide the development of dependable and efficient GenAI applications that are destined to fit well with intricate real-world use cases.",Enhancing GenAI: Leveraging Systems Engineering for Rigorous Test & Evaluation,"Tanya Dixit 1, Google Cloud, Google, Sydney, NSW, 2000",
20746,"Format: An interactive lecture with live demonstrations and Q&A sessions.Overview: In AI’s fast-changing field, it is important to understand the decision-making process of large language models (LLMs). This tutorial looks at why explainability in LLMs is important for trust-building and accountability in AI systems. Participants will gain insights into different explainability techniques like attention visualization, feature attribution, and model-agnostic methods. Practical use cases will demonstrate how these techniques can be employed to enhance transparency and performance in real-world applications. By the end of this session, attendees will be equipped with the knowledge to implement and leverage explaiability techniques in their own Generative AI projects.Audience: This tutorial is aimed at AI practitioners, data scientists, engineers, and researchers who develop, deploy, or evaluate Generative AI systems. Beginners are welsome since there are no prerequisites concerning prior experience in explainability.Line-up:Tanya Dixit – Generative AI Solutions Architect at Google. ",Unlocking the Black Box: A Beginner's Guide to Explainability in Generative AI and LLM Applications,"Tanya Dixit 1, Google Cloud, Google, Sydney, NSW, 2000",
20750,"Overview
Simulations are forms of social engineering often used in VET education contexts. However their use is not yet adequately supported by appropriate resources. Quality assessors have much to contribute to highlighting the significance of the gap and suggesting appropriate strategies for closing it. 
Context
This research is being undertaken in the Australian VET sector with specific attention to documentation regarding assessment conditions for units of competence from Certificate 1 to Associate Degree.
Purpose
The purpose of this work is to identify what is available and what is needed to ensure that VET educators are provided with appropriately designed simulated environments and tools to adequately assess learning via their use. 
Approach 
Data collected from units of competence across VET sectors will be used to check that documentation employs terms such as -
Skills in this unit must be demonstrated in a workplace or simulated environment where the conditions are typical of those in a working environment in this industry.
A l two part literature search is being undertaken to identify - 
what is generally known about effective design and use of simulations in education
what is available to VET educators about the use of simulations in their courses
key stakeholders will be interviewed to provide guidance on the search and help with validating findings
Analysis of the data collected will be summarised for presentation at the conference.
Insights
I have a recurring nightmare that someone will pop up and say “you’re wrong- look here it is! How did you miss that?” At which moment I would with relief relinquish the torch I’m carry and retire gracefully. I have not yet found evidence that could allow me to do so. This work will help identify what is needed to improve use of simulations in VET.",Uses of simulation for assessment in VET,"Elyssebeth Leigh 1, Katherin Coster 1, UTS, Sydney, NSW, Australia",
